SURVEY: CfA2
SNID:    1997bp        
IAUC:    1997bp                
RA:        191.719803  deg
DECL:      -11.645980  deg
MWEBV: 0.038 +- 0.002
REDSHIFT_HELIO: 0.00817993721345 +- 0.000 (Hel)
REDSHIFT_CMB: 0.00931104645133 +- 0.000 (CMB)
REDSHIFT_FINAL: 0.00931104645133 +- 0.000 (CMB)
HOSTGAL_LOGMASS: 10.36 +- 0.43
PRIVATE(COSMO): 1
SEARCH_PEAKMJD:  50548.941
FILTERS: UBVRI
 
# ====================================== 
# TERSE LIGHT CURVE OUTPUT 
# 
NOBS:  96
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR 
OBS: 50546.789 Bessell-U/U NULL 0.23399E+06 7758.5 14.077 0.036
OBS: 50546.789 Bessell-B/B NULL 0.22449E+06 2481.2 14.122 0.012
OBS: 50546.789 Bessell-V/V NULL 0.24706E+06 1592.8 14.018 0.007
OBS: 50546.789 Bessell-R/R NULL 0.27015E+06 2488.1 13.921 0.010
OBS: 50546.789 Bessell-I/I NULL 0.21999E+06 2228.8 14.144 0.011
OBS: 50547.488 Bessell-V/V NULL 0.24660E+06 4542.6 14.020 0.020
OBS: 50547.488 Bessell-R/R NULL 0.27290E+06 5027.0 13.910 0.020
OBS: 50547.801 Bessell-U/U NULL 0.23356E+06 8174.5 14.079 0.038
OBS: 50547.801 Bessell-B/B NULL 0.22972E+06 2962.1 14.097 0.014
OBS: 50547.801 Bessell-V/V NULL 0.25586E+06 2120.9 13.980 0.009
OBS: 50547.801 Bessell-R/R NULL 0.27695E+06 3061.0 13.894 0.012
OBS: 50547.801 Bessell-I/I NULL 0.22223E+06 2865.5 14.133 0.014
OBS: 50548.789 Bessell-U/U NULL 0.22699E+06 7526.2 14.110 0.036
OBS: 50548.789 Bessell-B/B NULL 0.23227E+06 2567.2 14.085 0.012
OBS: 50548.789 Bessell-V/V NULL 0.26693E+06 1721.0 13.934 0.007
OBS: 50548.789 Bessell-R/R NULL 0.29161E+06 2417.2 13.838 0.009
OBS: 50548.789 Bessell-I/I NULL 0.22803E+06 2310.3 14.105 0.011
OBS: 50549.801 Bessell-U/U NULL 0.21380E+06 7285.8 14.175 0.037
OBS: 50549.801 Bessell-B/B NULL 0.22720E+06 2929.6 14.109 0.014
OBS: 50549.801 Bessell-V/V NULL 0.27492E+06 2278.9 13.902 0.009
OBS: 50549.801 Bessell-R/R NULL 0.29868E+06 4126.4 13.812 0.015
OBS: 50549.801 Bessell-I/I NULL 0.22511E+06 2695.4 14.119 0.013
OBS: 50550.762 Bessell-U/U NULL 0.20342E+06 6557.6 14.229 0.035
OBS: 50550.762 Bessell-B/B NULL 0.22408E+06 2683.0 14.124 0.013
OBS: 50550.762 Bessell-V/V NULL 0.28080E+06 2069.0 13.879 0.008
OBS: 50550.762 Bessell-R/R NULL 0.30423E+06 3642.7 13.792 0.013
OBS: 50550.762 Bessell-I/I NULL 0.21878E+06 3627.0 14.150 0.018
OBS: 50552.820 Bessell-U/U NULL 0.18365E+06 6258.6 14.340 0.037
OBS: 50552.820 Bessell-B/B NULL 0.21301E+06 2942.8 14.179 0.015
OBS: 50552.820 Bessell-V/V NULL 0.28184E+06 2336.2 13.875 0.009
OBS: 50552.820 Bessell-R/R NULL 0.31275E+06 3456.7 13.762 0.012
OBS: 50552.820 Bessell-I/I NULL 0.21498E+06 2574.1 14.169 0.013
OBS: 50555.730 Bessell-B/B NULL 0.16293E+06 6002.5 14.470 0.040
OBS: 50555.730 Bessell-V/V NULL 0.24889E+06 6877.0 14.010 0.030
OBS: 50555.730 Bessell-R/R NULL 0.25351E+06 7004.8 13.990 0.030
OBS: 50555.730 Bessell-I/I NULL 0.16293E+06 4501.9 14.470 0.030
OBS: 50556.680 Bessell-B/B NULL 0.15276E+06 5627.8 14.540 0.040
OBS: 50556.680 Bessell-V/V NULL 0.24889E+06 6877.0 14.010 0.030
OBS: 50556.680 Bessell-R/R NULL 0.24889E+06 6877.0 14.010 0.030
OBS: 50556.680 Bessell-I/I NULL 0.15849E+06 4379.2 14.500 0.030
OBS: 50557.648 Bessell-B/B NULL 0.13932E+06 6415.7 14.640 0.050
