SURVEY: CfA2
SNID:    2000cn        
IAUC:    2000cn                
RA:        269.425385  deg
DECL:       27.825720  deg
MWEBV: 0.049 +- 0.002
REDSHIFT_HELIO: 0.0234940923842 +- 0.000 (Hel)
REDSHIFT_CMB: 0.0232076905668 +- 0.000 (CMB)
REDSHIFT_FINAL: 0.0232076905668 +- 0.000 (CMB)
HOSTGAL_LOGMASS: 10.961891 +- 0.280891
PRIVATE(COSMO): 1
SEARCH_PEAKMJD:  51707.828
FILTERS: UBVRI
 
# ====================================== 
# TERSE LIGHT CURVE OUTPUT 
# 
NOBS:  72
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR 
OBS: 51699.852 Bessell-U/U NULL 9401.6 406.98 17.567 0.047
OBS: 51699.852 Bessell-B/B NULL 8970.2 165.24 17.618 0.020
OBS: 51699.852 Bessell-V/V NULL 10271. 122.98 17.471 0.013
OBS: 51699.852 Bessell-R/R NULL 12428. 217.49 17.264 0.019
OBS: 51699.852 Bessell-I/I NULL 12543. 288.81 17.254 0.025
OBS: 51700.840 Bessell-U/U NULL 12497. 494.93 17.258 0.043
OBS: 51700.840 Bessell-B/B NULL 11492. 254.03 17.349 0.024
OBS: 51700.840 Bessell-V/V NULL 12474. 206.80 17.260 0.018
OBS: 51700.840 Bessell-R/R NULL 15150. 320.92 17.049 0.023
OBS: 51700.840 Bessell-I/I NULL 15733. 405.73 17.008 0.028
OBS: 51701.898 Bessell-U/U NULL 15502. 542.57 17.024 0.038
OBS: 51701.898 Bessell-B/B NULL 13452. 210.63 17.178 0.017
OBS: 51701.898 Bessell-V/V NULL 15374. 155.76 17.033 0.011
OBS: 51701.898 Bessell-R/R NULL 18315. 253.03 16.843 0.015
OBS: 51701.898 Bessell-I/I NULL 17717. 277.41 16.879 0.017
OBS: 51702.980 Bessell-B/B NULL 16114. 415.56 16.982 0.028
OBS: 51702.980 Bessell-V/V NULL 17507. 257.99 16.892 0.016
OBS: 51702.980 Bessell-R/R NULL 20874. 403.73 16.701 0.021
OBS: 51702.980 Bessell-I/I NULL 19249. 478.67 16.789 0.027
OBS: 51703.801 Bessell-U/U NULL 17571. 631.16 16.888 0.039
OBS: 51703.801 Bessell-B/B NULL 17045. 282.58 16.921 0.018
OBS: 51703.801 Bessell-V/V NULL 18097. 216.68 16.856 0.013
OBS: 51703.801 Bessell-R/R NULL 21938. 343.50 16.647 0.017
OBS: 51703.801 Bessell-I/I NULL 21419. 434.01 16.673 0.022
OBS: 51709.891 Bessell-U/U NULL 15805. 1310.1 17.003 0.090
OBS: 51709.891 Bessell-B/B NULL 17442. 289.17 16.896 0.018
OBS: 51709.891 Bessell-V/V NULL 23099. 255.30 16.591 0.012
OBS: 51709.891 Bessell-R/R NULL 26620. 416.80 16.437 0.017
OBS: 51709.891 Bessell-I/I NULL 19320. 480.44 16.785 0.027
OBS: 51710.828 Bessell-U/U NULL 14655. 944.87 17.085 0.070
OBS: 51710.828 Bessell-B/B NULL 16474. 561.41 16.958 0.037
OBS: 51710.828 Bessell-V/V NULL 23335. 558.79 16.580 0.026
OBS: 51710.828 Bessell-R/R NULL 26742. 1009.9 16.432 0.041
OBS: 51710.828 Bessell-I/I NULL 19934. 936.37 16.751 0.051
OBS: 51711.711 Bessell-U/U NULL 13243. 597.68 17.195 0.049
OBS: 51711.711 Bessell-B/B NULL 15603. 316.15 17.017 0.022
OBS: 51711.711 Bessell-V/V NULL 22678. 292.42 16.611 0.014
OBS: 51711.711 Bessell-R/R NULL 25680. 449.40 16.476 0.019
OBS: 51711.711 Bessell-I/I NULL 19391. 410.77 16.781 0.023
OBS: 51712.781 Bessell-U/U NULL 10242. 575.45 17.474 0.061
OBS: 51712.781 Bessell-B/B NULL 14805. 381.80 17.074 0.028
OBS: 51712.781 Bessell-V/V NULL 21979. 364.38 16.645 0.018
OBS: 51712.781 Bessell-R/R NULL 24255. 536.15 16.538 0.024
OBS: 51712.781 Bessell-I/I NULL 17914. 511.49 16.867 0.031
OBS: 51715.859 Bessell-U/U NULL 8333.0 544.92 17.698 0.071
OBS: 51715.859 Bessell-B/B NULL 10375. 286.68 17.460 0.030
OBS: 51715.859 Bessell-V/V NULL 18690. 344.27 16.821 0.020
OBS: 51715.859 Bessell-R/R NULL 19231. 495.95 16.790 0.028
OBS: 51715.859 Bessell-I/I NULL 14983. 634.79 17.061 0.046
OBS: 51716.738 Bessell-U/U NULL 6988.8 302.53 17.889 0.047
OBS: 51716.738 Bessell-B/B NULL 9488.5 174.79 17.557 0.020
OBS: 51716.738 Bessell-V/V NULL 16904. 202.40 16.930 0.013
OBS: 51716.738 Bessell-R/R NULL 18080. 299.74 16.857 0.018
OBS: 51716.738 Bessell-I/I NULL 14086. 350.30 17.128 0.027
OBS: 51728.969 Bessell-B/B NULL 1903.7 77.149 19.301 0.044
OBS: 51728.969 Bessell-V/V NULL 7027.5 174.76 17.883 0.027
OBS: 51728.969 Bessell-R/R NULL 11429. 347.37 17.355 0.033
OBS: 51728.969 Bessell-I/I NULL 14204. 510.20 17.119 0.039
OBS: 51758.719 Bessell-B/B NULL 872.57 56.257 20.148 0.070
OBS: 51758.719 Bessell-V/V NULL 2179.7 76.289 19.154 0.038
OBS: 51758.719 Bessell-R/R NULL 2589.4 140.71 18.967 0.059
OBS: 51789.789 Bessell-V/V NULL 1117.9 259.46 19.879 0.252
OBS: 51790.672 Bessell-V/V NULL 1007.4 226.39 19.992 0.244
OBS: 51791.641 Bessell-V/V NULL 932.40 89.312 20.076 0.104
OBS: 51791.641 Bessell-R/R NULL 812.83 154.22 20.225 0.206
OBS: 51794.648 Bessell-B/B NULL 567.02 76.770 20.616 0.147
OBS: 51794.648 Bessell-V/V NULL 933.25 86.815 20.075 0.101
OBS: 51794.648 Bessell-R/R NULL 800.20 123.08 20.242 0.167
OBS: 51796.660 Bessell-B/B NULL 546.51 91.611 20.656 0.182
OBS: 51803.621 Bessell-V/V NULL 735.87 68.454 20.333 0.101
OBS: 51803.621 Bessell-R/R NULL 492.49 79.380 20.769 0.175
OBS: 51810.648 Bessell-V/V NULL 545.00 125.99 20.659 0.251
END: 
