SURVEY: CfA3S
SNID:    2001G       
IAUC:    2001G       
RA:       137.38840  deg
DECL:      50.28079  deg
MWEBV: 0.013 +- 0.001
REDSHIFT_HELIO: 0.0165116323322 +- 0.000 (Hel)
REDSHIFT_CMB: 0.0170709602535 +- 0.000 (CMB)
REDSHIFT_FINAL: 0.0170709602535 +- 0.000 (CMB)
HOSTGAL_LOGMASS: 10.4990 +- 0.048
PRIVATE(COSMO): 1
SEARCH_PEAKMJD: 51931.18
FILTERS: abcde
NOBS: 34
NVAR: 7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR  MAG    MAGERR
#=============================================================
OBS: 51933.35581 CFA3S-U/a VOID 123367.283 13748.681 14.772 0.121
OBS: 51986.24803 CFA3S-U/a VOID 4421.809 333.956 18.386 0.082
OBS: 51989.24924 CFA3S-U/a VOID 3650.901 242.107 18.594 0.072
OBS: 52027.12301 CFA3S-U/a VOID 2122.267 238.471 19.183 0.122
OBS: 51963.35495 CFA3S-B/b VOID 9204.496 237.374 17.590 0.028
OBS: 51986.25140 CFA3S-B/b VOID 5223.962 139.532 18.205 0.029
OBS: 51989.25255 CFA3S-B/b VOID 5035.006 129.848 18.245 0.028
OBS: 52027.12700 CFA3S-B/b VOID 2973.035 101.316 18.817 0.037
OBS: 51930.31596 CFA3S-V/c VOID 94885.533 1922.642 15.057 0.022
OBS: 51933.36156 CFA3S-V/c VOID 95411.341 1669.665 15.051 0.019
OBS: 51963.35750 CFA3S-V/c VOID 22782.428 482.618 16.606 0.023
OBS: 51989.25512 CFA3S-V/c VOID 9392.907 173.024 17.568 0.020
OBS: 51994.27528 CFA3S-V/c VOID 8195.963 158.524 17.716 0.021
OBS: 52022.26957 CFA3S-V/c VOID 4499.870 128.481 18.367 0.031
OBS: 52027.13019 CFA3S-V/c VOID 4153.364 107.111 18.454 0.028
OBS: 52051.20023 CFA3S-V/c VOID 2491.151 94.072 19.009 0.041
OBS: 51930.31777 CFA3S-R/d VOID 100276.692 2401.314 14.997 0.026
OBS: 51933.36336 CFA3S-R/d VOID 99357.350 2013.253 15.007 0.022
OBS: 51963.35936 CFA3S-R/d VOID 33450.299 770.222 16.189 0.025
OBS: 51986.25582 CFA3S-R/d VOID 13267.833 293.283 17.193 0.024
OBS: 51989.25698 CFA3S-R/d VOID 12382.262 273.708 17.268 0.024
OBS: 51994.26437 CFA3S-R/d VOID 9972.407 293.918 17.503 0.032
OBS: 51994.27785 CFA3S-R/d VOID 10646.332 245.141 17.432 0.025
OBS: 52022.27204 CFA3S-R/d VOID 4673.045 146.337 18.326 0.034
OBS: 52027.13266 CFA3S-R/d VOID 4309.233 158.758 18.414 0.040
OBS: 52051.20272 CFA3S-R/d VOID 2318.462 113.175 19.087 0.053
OBS: 51930.31921 CFA3S-I/e VOID 66374.307 2078.522 15.445 0.034
OBS: 51933.36478 CFA3S-I/e VOID 62805.836 1504.004 15.505 0.026
OBS: 51986.25733 CFA3S-I/e VOID 13170.431 388.173 17.201 0.032
OBS: 51989.25851 CFA3S-I/e VOID 12531.412 369.339 17.255 0.032
OBS: 51994.27973 CFA3S-I/e VOID 9620.552 301.269 17.542 0.034
OBS: 52022.27383 CFA3S-I/e VOID 3224.037 246.464 18.729 0.083
OBS: 52027.13446 CFA3S-I/e VOID 3188.600 205.577 18.741 0.070
OBS: 52051.20450 CFA3S-I/e VOID 2255.278 197.333 19.117 0.095
END:
