SURVEY: CfA3S
SNID:    2002bo      
IAUC:    2002bo      
RA:       154.52715  deg
DECL:      21.82823  deg
MWEBV: 0.022 +- 0.001
REDSHIFT_HELIO: 0.0043000000 +- 0.000 (Hel)
REDSHIFT_CMB: 0.0053509856 +- 0.000 (CMB)
REDSHIFT_FINAL: 0.0053509856 +- 0.000 (CMB)
HOSTGAL_LOGMASS: 10.7520 +- 0.127
PRIVATE(COSMO): 1
SEARCH_PEAKMJD: 52357.234
FILTERS: abcde
NOBS: 86
NVAR: 7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR  MAG    MAGERR
#=============================================================
OBS: 52344.24715 CFA3S-U/a VOID 30422.857 1148.840 16.292 0.041
OBS: 52345.31095 CFA3S-U/a VOID 44750.717 1813.545 15.873 0.044
OBS: 52346.21294 CFA3S-U/a VOID 77196.925 3128.444 15.281 0.044
OBS: 52348.11669 CFA3S-U/a VOID 133168.038 3679.569 14.689 0.030
OBS: 52369.23924 CFA3S-U/a VOID 78054.869 2731.865 15.269 0.038
OBS: 52373.25906 CFA3S-U/a VOID 45248.064 1917.050 15.861 0.046
OBS: 52377.15575 CFA3S-U/a VOID 31419.553 1128.601 16.257 0.039
OBS: 52378.13440 CFA3S-U/a VOID 26448.436 1096.196 16.444 0.045
OBS: 52382.23057 CFA3S-U/a VOID 19177.854 777.192 16.793 0.044
OBS: 52397.12848 CFA3S-U/a VOID 9019.864 390.457 17.612 0.047
OBS: 52412.17391 CFA3S-U/a VOID 7523.155 304.880 17.809 0.044
OBS: 52435.18381 CFA3S-U/a VOID 4875.285 282.889 18.280 0.063
OBS: 52344.25041 CFA3S-B/b VOID 34040.819 877.877 16.170 0.028
OBS: 52345.31413 CFA3S-B/b VOID 48350.392 1469.568 15.789 0.033
OBS: 52346.21618 CFA3S-B/b VOID 72845.042 1878.597 15.344 0.028
OBS: 52348.11993 CFA3S-B/b VOID 120892.679 1892.887 14.794 0.017
OBS: 52350.16715 CFA3S-B/b VOID 172186.857 3488.979 14.410 0.022
OBS: 52353.20267 CFA3S-B/b VOID 225320.134 6018.298 14.118 0.029
OBS: 52355.17772 CFA3S-B/b VOID 243668.842 10548.083 14.033 0.047
OBS: 52369.24244 CFA3S-B/b VOID 109244.605 2817.304 14.904 0.028
OBS: 52371.25936 CFA3S-B/b VOID 89866.950 1489.869 15.116 0.018
OBS: 52373.26228 CFA3S-B/b VOID 71449.633 1974.226 15.365 0.030
OBS: 52374.21809 CFA3S-B/b VOID 66557.960 980.834 15.442 0.016
OBS: 52378.13763 CFA3S-B/b VOID 45331.491 1127.300 15.859 0.027
OBS: 52382.23377 CFA3S-B/b VOID 32598.679 780.637 16.217 0.026
OBS: 52397.13168 CFA3S-B/b VOID 15819.764 437.116 17.002 0.030
OBS: 52402.24426 CFA3S-B/b VOID 14845.677 410.201 17.071 0.030
OBS: 52412.17782 CFA3S-B/b VOID 12965.820 310.491 17.218 0.026
OBS: 52435.18772 CFA3S-B/b VOID 10027.669 277.075 17.497 0.030
OBS: 52344.25288 CFA3S-V/c VOID 52820.195 827.036 15.693 0.017
OBS: 52345.31661 CFA3S-V/c VOID 75370.258 1180.116 15.307 0.017
OBS: 52346.21868 CFA3S-V/c VOID 101111.371 1490.032 14.988 0.016
OBS: 52348.12243 CFA3S-V/c VOID 160398.388 2068.253 14.487 0.014
OBS: 52350.16965 CFA3S-V/c VOID 219179.534 5046.795 14.148 0.025
OBS: 52355.18020 CFA3S-V/c VOID 328700.224 7871.346 13.708 0.026
OBS: 52369.24492 CFA3S-V/c VOID 230568.514 3610.145 14.093 0.017
OBS: 52371.26184 CFA3S-V/c VOID 199159.029 3118.348 14.252 0.017
OBS: 52373.26477 CFA3S-V/c VOID 182305.596 3022.374 14.348 0.018
OBS: 52374.22058 CFA3S-V/c VOID 175873.335 1943.824 14.387 0.012
OBS: 52381.18115 CFA3S-V/c VOID 130617.089 2165.450 14.710 0.018
OBS: 52382.23627 CFA3S-V/c VOID 117923.402 1629.172 14.821 0.015
OBS: 52397.13417 CFA3S-V/c VOID 53112.898 733.782 15.687 0.015
OBS: 52402.24672 CFA3S-V/c VOID 47555.418 1357.805 15.807 0.031
OBS: 52412.18101 CFA3S-V/c VOID 36711.320 507.186 16.088 0.015
OBS: 52408.27464 CFA3S-V/c VOID 40179.081 1295.221 15.990 0.035
OBS: 52435.19089 CFA3S-V/c VOID 21281.390 333.215 16.680 0.017
OBS: 52344.25468 CFA3S-R/d VOID 75857.758 1048.014 15.300 0.015
OBS: 52345.31841 CFA3S-R/d VOID 109144.034 1507.881 14.905 0.015
OBS: 52345.32679 CFA3S-R/d VOID 110255.433 1624.784 14.894 0.016
OBS: 52345.33757 CFA3S-R/d VOID 111583.505 1541.583 14.881 0.015
OBS: 52346.22049 CFA3S-R/d VOID 134896.288 3603.078 14.675 0.029
OBS: 52348.12424 CFA3S-R/d VOID 222638.363 3075.863 14.131 0.015
OBS: 52350.17147 CFA3S-R/d VOID 297029.784 5197.916 13.818 0.019
OBS: 52353.20697 CFA3S-R/d VOID 370851.466 5465.069 13.577 0.016
OBS: 52355.18200 CFA3S-R/d VOID 395913.217 9480.888 13.506 0.026
OBS: 52369.24671 CFA3S-R/d VOID 245697.083 3394.431 14.024 0.015
OBS: 52371.26363 CFA3S-R/d VOID 225112.702 5390.748 14.119 0.026
OBS: 52373.26657 CFA3S-R/d VOID 222228.625 3070.202 14.133 0.015
OBS: 52374.22236 CFA3S-R/d VOID 222228.625 2456.162 14.133 0.012
OBS: 52377.16324 CFA3S-R/d VOID 216371.472 3786.424 14.162 0.019
OBS: 52378.14194 CFA3S-R/d VOID 213010.004 3139.031 14.179 0.016
OBS: 52381.18293 CFA3S-R/d VOID 200631.906 2956.621 14.244 0.016
OBS: 52382.23806 CFA3S-R/d VOID 197333.128 2726.258 14.262 0.015
OBS: 52397.13595 CFA3S-R/d VOID 87417.826 1127.207 15.146 0.014
OBS: 52402.24853 CFA3S-R/d VOID 75648.444 1811.545 15.303 0.026
OBS: 52412.18348 CFA3S-R/d VOID 54000.776 696.312 15.669 0.014
OBS: 52435.19338 CFA3S-R/d VOID 21125.160 661.538 16.688 0.034
OBS: 52344.25613 CFA3S-I/e VOID 76489.179 1268.084 15.291 0.018
OBS: 52345.32822 CFA3S-I/e VOID 108842.874 2405.952 14.908 0.024
OBS: 52346.22193 CFA3S-I/e VOID 147910.839 2724.618 14.575 0.020
OBS: 52348.12568 CFA3S-I/e VOID 230356.250 3182.489 14.094 0.015
OBS: 52350.17293 CFA3S-I/e VOID 294849.231 6789.154 13.826 0.025
OBS: 52353.20841 CFA3S-I/e VOID 355140.335 4579.349 13.624 0.014
