SURVEY: CfA3S
SNID:    2002bz      
IAUC:    2002bz      
RA:       216.16885  deg
DECL:      26.62647  deg
MWEBV: 0.016 +- 0.001
REDSHIFT_HELIO: 0.0369550873515 +- 0.000 (Hel)
REDSHIFT_CMB: 0.0376183390617 +- 0.000 (CMB)
REDSHIFT_FINAL: 0.0376183390617 +- 0.000 (CMB)
HOSTGAL_LOGMASS: 10.9840 +- 0.118
PRIVATE(COSMO): 1
SEARCH_PEAKMJD: 52366.812
FILTERS: abcde
NOBS: 17
NVAR: 7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR  MAG    MAGERR
#=============================================================
OBS: 52373.45656 CFA3S-U/a VOID 11716.557 787.768 17.328 0.073
OBS: 52373.45977 CFA3S-B/b VOID 11673.471 387.060 17.332 0.036
OBS: 52385.22870 CFA3S-B/b VOID 3351.197 194.454 18.687 0.063
OBS: 52402.35472 CFA3S-B/b VOID 1022.351 144.068 19.976 0.153
OBS: 52435.28030 CFA3S-B/b VOID 533.581 133.182 20.682 0.271
OBS: 52373.46226 CFA3S-V/c VOID 13353.650 258.282 17.186 0.021
OBS: 52385.23118 CFA3S-V/c VOID 6257.488 195.954 18.009 0.034
OBS: 52402.35722 CFA3S-V/c VOID 2238.721 173.203 19.125 0.084
OBS: 52435.28346 CFA3S-V/c VOID 1166.272 161.126 19.833 0.150
OBS: 52373.46406 CFA3S-R/d VOID 13803.843 394.128 17.150 0.031
OBS: 52385.23297 CFA3S-R/d VOID 7791.122 294.211 17.771 0.041
OBS: 52402.35902 CFA3S-R/d VOID 3165.192 247.796 18.749 0.085
OBS: 52435.28594 CFA3S-R/d VOID 1265.902 272.830 19.744 0.234
OBS: 52373.46551 CFA3S-I/e VOID 10384.845 420.851 17.459 0.044
OBS: 52385.23442 CFA3S-I/e VOID 6385.575 423.456 17.987 0.072
OBS: 52402.36046 CFA3S-I/e VOID 4153.364 363.412 18.454 0.095
OBS: 52435.28773 CFA3S-I/e VOID 2056.838 1062.768 19.217 0.561
END:
