SURVEY: CfA3S
SNID:    2002dp      
IAUC:    2002dp      
RA:       352.12543  deg
DECL:      22.42724  deg
MWEBV: 0.042 +- 0.002
REDSHIFT_HELIO: 0.0116357310767 +- 0.000 (Hel)
REDSHIFT_CMB: 0.0104468800128 +- 0.000 (CMB)
REDSHIFT_FINAL: 0.0104468800128 +- 0.000 (CMB)
HOSTGAL_LOGMASS: 10.5670 +- 0.486
PRIVATE(COSMO): 1
SEARCH_PEAKMJD: 52451.23
FILTERS: abcde
NOBS: 55
NVAR: 7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR  MAG    MAGERR
#=============================================================
OBS: 52446.46955 CFA3S-U/a VOID 149142.013 6318.784 14.566 0.046
OBS: 52448.46078 CFA3S-U/a VOID 170451.175 6907.619 14.421 0.044
OBS: 52450.45925 CFA3S-U/a VOID 159514.439 6611.320 14.493 0.045
OBS: 52450.47031 CFA3S-U/a VOID 155167.227 6574.058 14.523 0.046
OBS: 52452.46156 CFA3S-U/a VOID 143086.941 5930.457 14.611 0.045
OBS: 52452.47245 CFA3S-U/a VOID 139829.885 6181.828 14.636 0.048
OBS: 52466.42427 CFA3S-U/a VOID 29785.164 1152.192 16.315 0.042
OBS: 52446.47278 CFA3S-B/b VOID 106757.895 3048.157 14.929 0.031
OBS: 52448.46399 CFA3S-B/b VOID 121450.694 2908.366 14.789 0.026
OBS: 52450.47353 CFA3S-B/b VOID 125429.589 5660.721 14.754 0.049
OBS: 52452.46478 CFA3S-B/b VOID 112823.612 4260.490 14.869 0.041
OBS: 52459.42157 CFA3S-B/b VOID 83714.367 1773.387 15.193 0.023
OBS: 52462.36969 CFA3S-B/b VOID 62058.318 4515.468 15.518 0.079
OBS: 52466.42750 CFA3S-B/b VOID 41190.778 872.577 15.963 0.023
OBS: 52580.26322 CFA3S-B/b VOID 2255.278 114.245 19.117 0.055
OBS: 52614.21414 CFA3S-B/b VOID 1363.955 77.887 19.663 0.062
OBS: 52634.21353 CFA3S-B/b VOID 812.831 82.351 20.225 0.110
OBS: 52446.47528 CFA3S-V/c VOID 117923.402 2498.064 14.821 0.023
OBS: 52448.46648 CFA3S-V/c VOID 134896.288 2981.858 14.675 0.024
OBS: 52449.47836 CFA3S-V/c VOID 137911.347 3302.547 14.651 0.026
OBS: 52450.46495 CFA3S-V/c VOID 135768.806 3626.383 14.668 0.029
OBS: 52450.47602 CFA3S-V/c VOID 139829.885 2446.974 14.636 0.019
OBS: 52452.46727 CFA3S-V/c VOID 140734.314 2981.285 14.629 0.023
OBS: 52452.47816 CFA3S-V/c VOID 139444.054 3210.818 14.639 0.025
OBS: 52459.42406 CFA3S-V/c VOID 118467.712 2073.143 14.816 0.019
OBS: 52462.37219 CFA3S-V/c VOID 101578.080 2151.808 14.983 0.023
OBS: 52466.43000 CFA3S-V/c VOID 71911.774 3444.126 15.358 0.052
OBS: 52579.24375 CFA3S-V/c VOID 3017.172 136.167 18.801 0.049
OBS: 52580.26635 CFA3S-V/c VOID 2902.686 149.714 18.843 0.056
OBS: 52614.21730 CFA3S-V/c VOID 1731.410 76.545 19.404 0.048
OBS: 52634.21669 CFA3S-V/c VOID 1134.488 78.368 19.863 0.075
OBS: 52446.47706 CFA3S-R/d VOID 137530.810 4306.799 14.654 0.034
OBS: 52448.46828 CFA3S-R/d VOID 151216.785 4735.377 14.551 0.034
OBS: 52449.48015 CFA3S-R/d VOID 152475.477 4634.358 14.542 0.033
OBS: 52450.46675 CFA3S-R/d VOID 148593.564 4379.511 14.570 0.032
OBS: 52450.47781 CFA3S-R/d VOID 148867.536 5073.147 14.568 0.037
OBS: 52452.46906 CFA3S-R/d VOID 153320.420 4660.040 14.536 0.033
OBS: 52452.47995 CFA3S-R/d VOID 149416.996 4816.635 14.564 0.035
OBS: 52459.42587 CFA3S-R/d VOID 120005.182 3315.866 14.802 0.030
OBS: 52462.37398 CFA3S-R/d VOID 96560.610 2757.004 15.038 0.031
OBS: 52580.26882 CFA3S-R/d VOID 2165.708 157.581 19.161 0.079
OBS: 52614.21975 CFA3S-R/d VOID 1028.964 94.771 19.969 0.100
OBS: 52446.47852 CFA3S-I/e VOID 138675.583 4087.198 14.645 0.032
OBS: 52448.46972 CFA3S-I/e VOID 141775.112 3395.072 14.621 0.026
OBS: 52449.48160 CFA3S-I/e VOID 139315.680 4106.063 14.640 0.032
OBS: 52450.46819 CFA3S-I/e VOID 133045.442 3553.642 14.690 0.029
OBS: 52450.47926 CFA3S-I/e VOID 129062.478 3803.870 14.723 0.032
OBS: 52452.47051 CFA3S-I/e VOID 127057.411 3627.750 14.740 0.031
OBS: 52452.48141 CFA3S-I/e VOID 123026.877 3286.046 14.775 0.029
OBS: 52459.42730 CFA3S-I/e VOID 91790.979 2874.449 15.093 0.034
OBS: 52462.37543 CFA3S-I/e VOID 79873.001 2206.973 15.244 0.030
OBS: 52467.43441 CFA3S-I/e VOID 84644.745 2416.781 15.181 0.031
OBS: 52579.24796 CFA3S-I/e VOID 2259.436 264.289 19.115 0.127
OBS: 52580.27058 CFA3S-I/e VOID 2173.702 280.287 19.157 0.140
OBS: 52614.22152 CFA3S-I/e VOID 836.373 204.907 20.194 0.266
END:
