SURVEY: CfA3K
SNID:    2005kc      
IAUC:    2005kc      
RA:       338.53045  deg
DECL:       5.56834  deg
MWEBV: 0.114 +- 0.006
REDSHIFT_HELIO: 0.0151189103738 +- 0.000 (Hel)
REDSHIFT_CMB: 0.0138991074637 +- 0.000 (CMB)
REDSHIFT_FINAL: 0.0138991074637 +- 0.000 (CMB)
HOSTGAL_LOGMASS: 11.0840 +- 0.439
PRIVATE(COSMO): 1
SEARCH_PEAKMJD: 53697.867
FILTERS: fhjkl
NOBS: 54
NVAR: 7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR  MAG    MAGERR
#=============================================================
OBS: 53692.09600 CFA3K-U/f VOID 20511.622 982.379 16.720 0.052
OBS: 53692.10000 CFA3K-U/f VOID 28523.315 1287.276 16.362 0.049
OBS: 53696.15300 CFA3K-U/f VOID 35677.959 1610.170 16.119 0.049
OBS: 53696.15600 CFA3K-U/f VOID 29214.604 1318.475 16.336 0.049
OBS: 53699.07900 CFA3K-U/f VOID 31448.505 1419.292 16.256 0.049
OBS: 53699.08300 CFA3K-U/f VOID 32151.408 1421.402 16.232 0.048
OBS: 53707.18200 CFA3K-U/f VOID 14709.571 704.497 17.081 0.052
OBS: 53707.18600 CFA3K-U/f VOID 14321.879 699.120 17.110 0.053
OBS: 53729.10200 CFA3K-U/f VOID 1573.258 215.905 19.508 0.149
OBS: 53729.10500 CFA3K-U/f VOID 1293.004 210.789 19.721 0.177
OBS: 53692.10400 CFA3K-B/h VOID 27314.924 503.159 16.409 0.020
OBS: 53697.11700 CFA3K-B/h VOID 34641.764 638.125 16.151 0.020
OBS: 53699.07600 CFA3K-B/h VOID 35579.513 622.629 16.122 0.019
OBS: 53707.17900 CFA3K-B/h VOID 21359.939 413.138 16.676 0.021
OBS: 53714.13700 CFA3K-B/h VOID 9306.792 214.297 17.578 0.025
OBS: 53724.13100 CFA3K-B/h VOID 4520.641 145.728 18.362 0.035
OBS: 53729.09900 CFA3K-B/h VOID 3081.768 113.537 18.778 0.040
OBS: 53731.12000 CFA3K-B/h VOID 2346.389 211.788 19.074 0.098
OBS: 53689.10400 CFA3K-V/j VOID 24865.661 458.042 16.511 0.020
OBS: 53692.09400 CFA3K-V/j VOID 37256.324 617.658 16.072 0.018
OBS: 53696.15000 CFA3K-V/j VOID 46687.433 688.011 15.827 0.016
OBS: 53697.10900 CFA3K-V/j VOID 44463.127 859.993 15.880 0.021
OBS: 53699.07000 CFA3K-V/j VOID 49750.792 687.333 15.758 0.015
OBS: 53707.17400 CFA3K-V/j VOID 39994.475 663.053 15.995 0.018
OBS: 53713.09600 CFA3K-V/j VOID 23420.707 560.853 16.576 0.026
OBS: 53713.12200 CFA3K-V/j VOID 23878.113 615.792 16.555 0.028
OBS: 53714.13100 CFA3K-V/j VOID 25258.061 465.271 16.494 0.020
OBS: 53724.12600 CFA3K-V/j VOID 15761.589 290.339 17.006 0.020
OBS: 53729.09300 CFA3K-V/j VOID 11189.225 206.113 17.378 0.020
OBS: 53731.11400 CFA3K-V/j VOID 10794.437 367.856 17.417 0.037
OBS: 53752.08900 CFA3K-V/j VOID 3290.031 206.056 18.707 0.068
OBS: 53689.10700 CFA3K-r/k VOID 29895.099 523.154 16.311 0.019
OBS: 53692.09000 CFA3K-r/k VOID 43371.056 758.978 15.907 0.019
OBS: 53696.14300 CFA3K-r/k VOID 52771.568 972.088 15.694 0.020
OBS: 53696.14700 CFA3K-r/k VOID 52335.937 964.064 15.703 0.020
OBS: 53697.11200 CFA3K-r/k VOID 51238.924 1038.241 15.726 0.022
OBS: 53699.07300 CFA3K-r/k VOID 53505.694 936.331 15.679 0.019
OBS: 53707.17600 CFA3K-r/k VOID 40813.139 751.806 15.973 0.020
OBS: 53713.09900 CFA3K-r/k VOID 26693.161 860.486 16.434 0.035
OBS: 53714.13300 CFA3K-r/k VOID 29675.634 573.978 16.319 0.021
OBS: 53729.09500 CFA3K-r/k VOID 17250.433 317.765 16.908 0.020
OBS: 53731.11600 CFA3K-r/k VOID 13982.988 798.486 17.136 0.062
OBS: 53689.11000 CFA3K-i/l VOID 28470.822 576.897 16.364 0.022
OBS: 53692.09200 CFA3K-i/l VOID 38868.699 966.584 16.026 0.027
OBS: 53696.14900 CFA3K-i/l VOID 42383.811 858.813 15.932 0.022
OBS: 53697.11400 CFA3K-i/l VOID 40068.215 811.892 15.993 0.022
OBS: 53699.07400 CFA3K-i/l VOID 37739.835 660.434 16.058 0.019
OBS: 53707.17800 CFA3K-i/l VOID 26061.535 552.082 16.460 0.023
OBS: 53713.10000 CFA3K-i/l VOID 20739.582 534.852 16.708 0.028
OBS: 53713.12600 CFA3K-i/l VOID 20081.678 573.373 16.743 0.031
OBS: 53714.13500 CFA3K-i/l VOID 22325.439 452.375 16.628 0.022
OBS: 53724.13000 CFA3K-i/l VOID 24774.221 524.812 16.515 0.023
OBS: 53729.09700 CFA3K-i/l VOID 19678.863 434.998 16.765 0.024
OBS: 53731.11800 CFA3K-i/l VOID 18569.491 684.125 16.828 0.040
END:
