SURVEY: CfA3K
SNID:    2005ke      
IAUC:    2005ke      
RA:        53.76815  deg
DECL:     -24.94415  deg
MWEBV: 0.021 +- 0.001
REDSHIFT_HELIO: 0.0049000000 +- 0.000 (Hel)
REDSHIFT_CMB: 0.0045057618 +- 0.000 (CMB)
REDSHIFT_FINAL: 0.0045057618 +- 0.000 (CMB)
HOSTGAL_LOGMASS: -1.00000 +- 0.0
PRIVATE(COSMO): 1
SEARCH_PEAKMJD: 53699.113
FILTERS: fhjkl
NOBS: 113
NVAR: 7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR  MAG    MAGERR
#=============================================================
OBS: 53696.32200 CFA3K-U/f VOID 80241.678 2217.159 15.239 0.030
OBS: 53696.32600 CFA3K-U/f VOID 72710.980 2343.925 15.346 0.035
OBS: 53706.29500 CFA3K-U/f VOID 29160.838 859.460 16.338 0.032
OBS: 53706.29900 CFA3K-U/f VOID 28787.238 848.449 16.352 0.032
OBS: 53707.26800 CFA3K-U/f VOID 24728.627 751.605 16.517 0.033
OBS: 53707.27200 CFA3K-U/f VOID 24888.573 756.466 16.510 0.033
OBS: 53708.28400 CFA3K-U/f VOID 21737.020 680.698 16.657 0.034
OBS: 53708.28800 CFA3K-U/f VOID 22039.412 690.168 16.642 0.034
OBS: 53711.25500 CFA3K-U/f VOID 14900.471 576.401 17.067 0.042
OBS: 53714.27700 CFA3K-U/f VOID 12752.637 657.754 17.236 0.056
OBS: 53725.20400 CFA3K-U/f VOID 9664.959 445.088 17.537 0.050
OBS: 53725.20700 CFA3K-U/f VOID 10558.446 437.611 17.441 0.045
OBS: 53726.19200 CFA3K-U/f VOID 9170.647 473.003 17.594 0.056
OBS: 53726.19600 CFA3K-U/f VOID 8733.735 402.203 17.647 0.050
OBS: 53728.28600 CFA3K-U/f VOID 9061.498 534.141 17.607 0.064
OBS: 53729.24900 CFA3K-U/f VOID 9204.496 415.405 17.590 0.049
OBS: 53729.25200 CFA3K-U/f VOID 7171.335 488.773 17.861 0.074
OBS: 53730.13300 CFA3K-U/f VOID 8887.917 507.537 17.628 0.062
OBS: 53731.18700 CFA3K-U/f VOID 8061.206 438.054 17.734 0.059
OBS: 53731.19100 CFA3K-U/f VOID 8717.661 473.727 17.649 0.059
OBS: 53765.09800 CFA3K-U/f VOID 4345.102 468.232 18.405 0.117
OBS: 53765.10200 CFA3K-U/f VOID 3634.126 384.923 18.599 0.115
OBS: 53766.10500 CFA3K-U/f VOID 3760.105 325.539 18.562 0.094
OBS: 53766.10900 CFA3K-U/f VOID 3561.230 311.601 18.621 0.095
OBS: 53693.32300 CFA3K-B/h VOID 73519.069 1151.131 15.334 0.017
OBS: 53694.31400 CFA3K-B/h VOID 82717.995 1371.350 15.206 0.018
OBS: 53695.31400 CFA3K-B/h VOID 89701.561 1569.746 15.118 0.019
OBS: 53704.22200 CFA3K-B/h VOID 70080.953 1290.939 15.386 0.020
OBS: 53706.29200 CFA3K-B/h VOID 51808.379 1002.063 15.714 0.021
OBS: 53707.26500 CFA3K-B/h VOID 44874.539 909.282 15.870 0.022
OBS: 53708.28100 CFA3K-B/h VOID 38264.849 704.865 16.043 0.020
OBS: 53711.25200 CFA3K-B/h VOID 26964.974 571.220 16.423 0.023
OBS: 53714.27000 CFA3K-B/h VOID 20989.399 405.971 16.695 0.021
OBS: 53725.20000 CFA3K-B/h VOID 13255.619 268.595 17.194 0.022
OBS: 53726.18800 CFA3K-B/h VOID 12566.085 277.771 17.252 0.024
OBS: 53729.24500 CFA3K-B/h VOID 11609.139 256.618 17.338 0.024
OBS: 53730.12900 CFA3K-B/h VOID 11240.872 186.358 17.373 0.018
OBS: 53731.18300 CFA3K-B/h VOID 10804.384 218.927 17.416 0.022
OBS: 53741.17300 CFA3K-B/h VOID 7899.507 298.304 17.756 0.041
OBS: 53752.18000 CFA3K-B/h VOID 7467.926 385.180 17.817 0.056
OBS: 53766.10100 CFA3K-B/h VOID 5360.435 138.240 18.177 0.028
OBS: 53768.11700 CFA3K-B/h VOID 5062.908 167.872 18.239 0.036
OBS: 53777.09500 CFA3K-B/h VOID 3657.632 192.022 18.592 0.057
OBS: 53689.35300 CFA3K-V/j VOID 33790.919 684.697 16.178 0.022
OBS: 53692.30300 CFA3K-V/j VOID 86696.188 1437.303 15.155 0.018
OBS: 53694.30400 CFA3K-V/j VOID 126473.635 1630.811 14.745 0.014
OBS: 53695.30400 CFA3K-V/j VOID 145344.968 2677.353 14.594 0.020
