SURVEY: CfA3K
SNID:    2006H       
IAUC:    2006H       
RA:        51.50639  deg
DECL:      40.69491  deg
MWEBV: 0.177 +- 0.009
REDSHIFT_HELIO: 0.014000000 +- 0.000 (Hel)
REDSHIFT_CMB: 0.013484843 +- 0.000 (CMB)
REDSHIFT_FINAL: 0.013484843 +- 0.000 (CMB)
HOSTGAL_LOGMASS: 9.54800 +- 0.113
PRIVATE(COSMO): 1
SEARCH_PEAKMJD: 53748.383
FILTERS: fhjkl
NOBS: 106
NVAR: 7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR  MAG    MAGERR
#=============================================================
OBS: 53756.14066 CFA3K-U/f VOID 2716.439 227.676 18.915 0.091
OBS: 53757.16859 CFA3K-U/f VOID 2691.535 198.320 18.925 0.080
OBS: 53759.16064 CFA3K-U/f VOID 1583.434 266.887 19.501 0.183
OBS: 53760.15337 CFA3K-U/f VOID 1485.936 257.296 19.570 0.188
OBS: 53762.12762 CFA3K-U/f VOID 1102.554 198.021 19.894 0.195
OBS: 53763.19363 CFA3K-U/f VOID 938.426 235.960 20.069 0.273
OBS: 53764.21869 CFA3K-U/f VOID 1067.579 270.401 19.929 0.275
OBS: 53765.22674 CFA3K-U/f VOID 756.484 287.757 20.303 0.413
OBS: 53766.25407 CFA3K-U/f VOID 695.024 196.523 20.395 0.307
OBS: 53767.10994 CFA3K-U/f VOID 716.473 191.370 20.362 0.290
OBS: 53768.22673 CFA3K-U/f VOID 617.163 207.476 20.524 0.365
OBS: 53770.17007 CFA3K-U/f VOID 665.580 250.726 20.442 0.409
OBS: 53756.13762 CFA3K-B/h VOID 6480.373 143.247 17.971 0.024
OBS: 53757.16189 CFA3K-B/h VOID 5530.953 101.884 18.143 0.020
OBS: 53759.15758 CFA3K-B/h VOID 4321.157 111.438 18.411 0.028
OBS: 53760.14669 CFA3K-B/h VOID 3912.010 93.680 18.519 0.026
OBS: 53762.12093 CFA3K-B/h VOID 2657.052 102.784 18.939 0.042
OBS: 53763.19059 CFA3K-B/h VOID 2246.984 111.756 19.121 0.054
OBS: 53764.21564 CFA3K-B/h VOID 1962.456 81.337 19.268 0.045
OBS: 53765.22007 CFA3K-B/h VOID 1558.834 119.166 19.518 0.083
OBS: 53766.24740 CFA3K-B/h VOID 1712.379 78.858 19.416 0.050
OBS: 53767.10325 CFA3K-B/h VOID 1541.700 103.657 19.530 0.073
OBS: 53768.22368 CFA3K-B/h VOID 1300.170 76.640 19.715 0.064
OBS: 53771.21104 CFA3K-B/h VOID 825.658 160.457 20.208 0.211
OBS: 53786.20193 CFA3K-B/h VOID 379.490 74.099 21.052 0.212
OBS: 53788.21696 CFA3K-B/h VOID 419.566 97.381 20.943 0.252
OBS: 53796.14450 CFA3K-B/h VOID 282.098 87.300 21.374 0.336
OBS: 53756.13196 CFA3K-V/j VOID 15038.343 193.912 17.057 0.014
OBS: 53757.15619 CFA3K-V/j VOID 14242.952 223.010 17.116 0.017
OBS: 53759.15196 CFA3K-V/j VOID 12145.069 268.465 17.289 0.024
OBS: 53760.14101 CFA3K-V/j VOID 11705.770 172.503 17.329 0.016
OBS: 53762.11527 CFA3K-V/j VOID 9620.552 177.217 17.542 0.020
OBS: 53763.18494 CFA3K-V/j VOID 8637.737 143.202 17.659 0.018
OBS: 53765.21441 CFA3K-V/j VOID 7164.733 158.375 17.862 0.024
OBS: 53766.24172 CFA3K-V/j VOID 6729.767 136.364 17.930 0.022
OBS: 53767.09755 CFA3K-V/j VOID 6047.836 150.397 18.046 0.027
OBS: 53768.21802 CFA3K-V/j VOID 5722.687 126.499 18.106 0.024
OBS: 53770.16144 CFA3K-V/j VOID 4466.836 111.081 18.375 0.027
OBS: 53771.20548 CFA3K-V/j VOID 4353.114 200.468 18.403 0.050
OBS: 53777.19282 CFA3K-V/j VOID 2601.357 234.802 18.962 0.098
OBS: 53779.20235 CFA3K-V/j VOID 2701.469 281.160 18.921 0.113
OBS: 53780.16365 CFA3K-V/j VOID 2212.076 566.396 19.138 0.278
OBS: 53781.26241 CFA3K-V/j VOID 1818.026 269.589 19.351 0.161
OBS: 53786.19218 CFA3K-V/j VOID 1770.109 110.862 19.380 0.068
OBS: 53787.15647 CFA3K-V/j VOID 1828.100 165.007 19.345 0.098
OBS: 53788.21130 CFA3K-V/j VOID 1479.108 113.072 19.575 0.083
OBS: 53794.17609 CFA3K-V/j VOID 1315.831 119.981 19.702 0.099
OBS: 53796.14149 CFA3K-V/j VOID 1271.745 110.104 19.739 0.094
OBS: 53798.19469 CFA3K-V/j VOID 1355.189 132.307 19.670 0.106
OBS: 53808.15801 CFA3K-V/j VOID 794.328 262.646 20.250 0.359
OBS: 53811.15279 CFA3K-V/j VOID 841.783 169.793 20.187 0.219
OBS: 53817.14331 CFA3K-V/j VOID 660.693 152.739 20.450 0.251
OBS: 53818.15758 CFA3K-V/j VOID 838.687 183.845 20.191 0.238
OBS: 53756.13435 CFA3K-r/k VOID 18247.358 252.097 16.847 0.015
OBS: 53757.15858 CFA3K-r/k VOID 17766.423 229.089 16.876 0.014
OBS: 53759.15432 CFA3K-r/k VOID 16292.960 360.153 16.970 0.024
OBS: 53760.14340 CFA3K-r/k VOID 15205.475 196.067 17.045 0.014
OBS: 53762.11766 CFA3K-r/k VOID 13702.506 265.030 17.158 0.021
OBS: 53763.18734 CFA3K-r/k VOID 12531.412 184.670 17.255 0.016
OBS: 53764.21237 CFA3K-r/k VOID 11428.783 442.105 17.355 0.042
OBS: 53765.21678 CFA3K-r/k VOID 11117.317 163.831 17.385 0.016
OBS: 53766.24412 CFA3K-r/k VOID 9899.198 154.997 17.511 0.017
OBS: 53767.09994 CFA3K-r/k VOID 9576.350 167.583 17.547 0.019
OBS: 53768.22042 CFA3K-r/k VOID 8937.170 156.397 17.622 0.019
OBS: 53775.15242 CFA3K-r/k VOID 4446.313 417.711 18.380 0.102
OBS: 53777.18953 CFA3K-r/k VOID 4333.113 183.583 18.408 0.046
OBS: 53779.19902 CFA3K-r/k VOID 3742.829 141.338 18.567 0.041
OBS: 53780.16035 CFA3K-r/k VOID 3150.649 188.621 18.754 0.065
OBS: 53781.26478 CFA3K-r/k VOID 3385.322 230.732 18.676 0.074
OBS: 53786.18888 CFA3K-r/k VOID 2627.847 128.278 18.951 0.053
OBS: 53787.15885 CFA3K-r/k VOID 2481.990 130.302 19.013 0.057
OBS: 53788.21367 CFA3K-r/k VOID 2445.682 123.891 19.029 0.055
OBS: 53794.17845 CFA3K-r/k VOID 1560.271 107.780 19.517 0.075
OBS: 53796.13062 CFA3K-r/k VOID 1855.240 116.194 19.329 0.068
OBS: 53796.13677 CFA3K-r/k VOID 1589.278 103.928 19.497 0.071
OBS: 53798.19777 CFA3K-r/k VOID 1635.310 126.519 19.466 0.084
OBS: 53805.14925 CFA3K-r/k VOID 922.996 198.076 20.087 0.233
OBS: 53807.13632 CFA3K-r/k VOID 916.220 147.677 20.095 0.175
OBS: 53811.15586 CFA3K-r/k VOID 823.379 144.847 20.211 0.191
OBS: 53813.13054 CFA3K-r/k VOID 649.232 245.764 20.469 0.411
OBS: 53817.13857 CFA3K-r/k VOID 550.047 129.186 20.649 0.255
OBS: 53818.14902 CFA3K-r/k VOID 873.373 272.694 20.147 0.339
OBS: 53756.13594 CFA3K-i/l VOID 14494.392 253.647 17.097 0.019
OBS: 53757.16020 CFA3K-i/l VOID 14164.459 221.781 17.122 0.017
OBS: 53759.15591 CFA3K-i/l VOID 13614.447 175.551 17.165 0.014
OBS: 53760.14501 CFA3K-i/l VOID 12882.496 189.843 17.225 0.016
OBS: 53762.11926 CFA3K-i/l VOID 12577.664 312.780 17.251 0.027
OBS: 53763.18892 CFA3K-i/l VOID 12100.408 211.753 17.293 0.019
OBS: 53764.21397 CFA3K-i/l VOID 11857.687 305.797 17.315 0.028
OBS: 53765.21840 CFA3K-i/l VOID 10814.340 199.207 17.415 0.020
OBS: 53766.24572 CFA3K-i/l VOID 10744.841 168.238 17.422 0.017
OBS: 53767.10157 CFA3K-i/l VOID 10232.930 179.073 17.475 0.019
OBS: 53768.22201 CFA3K-i/l VOID 9196.022 186.337 17.591 0.022
OBS: 53775.15472 CFA3K-i/l VOID 5644.169 504.252 18.121 0.097
OBS: 53777.19112 CFA3K-i/l VOID 5157.034 170.993 18.219 0.036
OBS: 53779.20062 CFA3K-i/l VOID 4425.884 187.514 18.385 0.046
OBS: 53781.26639 CFA3K-i/l VOID 3837.072 212.044 18.540 0.060
OBS: 53786.19048 CFA3K-i/l VOID 3133.286 141.407 18.760 0.049
OBS: 53787.16045 CFA3K-i/l VOID 2997.782 303.716 18.808 0.110
OBS: 53788.21528 CFA3K-i/l VOID 2691.535 143.782 18.925 0.058
OBS: 53794.18005 CFA3K-i/l VOID 1975.150 134.619 19.261 0.074
OBS: 53796.13524 CFA3K-i/l VOID 1843.317 249.570 19.336 0.147
OBS: 53798.20007 CFA3K-i/l VOID 1461.504 142.686 19.588 0.106
OBS: 53811.15817 CFA3K-i/l VOID 709.251 178.989 20.373 0.274
