SURVEY: CfA3K
SNID:    2006ax      
IAUC:    2006ax      
RA:       171.01430  deg
DECL:     -12.29153  deg
MWEBV: 0.043 +- 0.002
REDSHIFT_HELIO: 0.0164969703239 +- 0.000 (Hel)
REDSHIFT_CMB: 0.0177266895771 +- 0.000 (CMB)
REDSHIFT_FINAL: 0.0177266895771 +- 0.000 (CMB)
HOSTGAL_LOGMASS: -1.00000 +- 0.0
PRIVATE(COSMO): 1
SEARCH_PEAKMJD: 53827.512
FILTERS: fhjkl
NOBS: 130
NVAR: 7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR  MAG    MAGERR
#=============================================================
OBS: 53818.37726 CFA3K-U/f VOID 65705.239 1633.953 15.456 0.027
OBS: 53818.38089 CFA3K-U/f VOID 66069.345 1643.007 15.450 0.027
OBS: 53819.26618 CFA3K-U/f VOID 74816.950 1998.360 15.315 0.029
OBS: 53819.26981 CFA3K-U/f VOID 76067.650 1961.705 15.297 0.028
OBS: 53820.28743 CFA3K-U/f VOID 94536.605 2350.929 15.061 0.027
OBS: 53820.29108 CFA3K-U/f VOID 94275.751 2257.611 15.064 0.026
OBS: 53825.30337 CFA3K-U/f VOID 121562.606 3023.009 14.788 0.027
OBS: 53825.30700 CFA3K-U/f VOID 120559.101 2887.015 14.797 0.026
OBS: 53827.27569 CFA3K-U/f VOID 119233.969 2855.282 14.809 0.026
OBS: 53827.27933 CFA3K-U/f VOID 118032.064 2826.500 14.820 0.026
OBS: 53828.24346 CFA3K-U/f VOID 108043.837 2885.849 14.916 0.029
OBS: 53829.24686 CFA3K-U/f VOID 98537.151 2813.438 15.016 0.031
OBS: 53829.25049 CFA3K-U/f VOID 92299.638 2890.378 15.087 0.034
OBS: 53832.23529 CFA3K-U/f VOID 79946.600 2209.006 15.243 0.030
OBS: 53832.23891 CFA3K-U/f VOID 80463.700 2149.184 15.236 0.029
OBS: 53833.19287 CFA3K-U/f VOID 65887.040 5704.315 15.453 0.094
OBS: 53839.18286 CFA3K-U/f VOID 34994.517 1353.708 16.140 0.042
OBS: 53843.21660 CFA3K-U/f VOID 25609.435 731.202 16.479 0.031
OBS: 53843.22022 CFA3K-U/f VOID 24683.117 750.222 16.519 0.033
OBS: 53845.20152 CFA3K-U/f VOID 18197.009 620.122 16.850 0.037
OBS: 53845.20516 CFA3K-U/f VOID 18949.598 575.956 16.806 0.033
OBS: 53846.20353 CFA3K-U/f VOID 16428.579 544.726 16.961 0.036
OBS: 53846.20716 CFA3K-U/f VOID 17013.748 611.139 16.923 0.039
OBS: 53848.17975 CFA3K-U/f VOID 13025.668 467.886 17.213 0.039
OBS: 53848.18337 CFA3K-U/f VOID 13037.670 468.317 17.212 0.039
OBS: 53849.18773 CFA3K-U/f VOID 11684.227 451.986 17.331 0.042
OBS: 53849.19138 CFA3K-U/f VOID 12336.728 477.227 17.272 0.042
OBS: 53858.18519 CFA3K-U/f VOID 6297.961 435.048 18.002 0.075
OBS: 53858.18883 CFA3K-U/f VOID 5834.451 392.282 18.085 0.073
OBS: 53859.16187 CFA3K-U/f VOID 5759.702 355.427 18.099 0.067
OBS: 53859.16551 CFA3K-U/f VOID 6143.276 367.781 18.029 0.065
OBS: 53860.13973 CFA3K-U/f VOID 5587.274 900.562 18.132 0.175
OBS: 53870.18176 CFA3K-U/f VOID 5119.175 1447.485 18.227 0.307
OBS: 53879.20435 CFA3K-U/f VOID 3081.768 899.777 18.778 0.317
OBS: 53879.20799 CFA3K-U/f VOID 3039.485 901.429 18.793 0.322
OBS: 53899.16309 CFA3K-U/f VOID 3640.827 1073.064 18.597 0.320
OBS: 53899.16673 CFA3K-U/f VOID 3705.101 1115.895 18.578 0.327
OBS: 53817.33131 CFA3K-B/h VOID 35123.679 582.302 16.136 0.018
OBS: 53818.37420 CFA3K-B/h VOID 43531.136 761.779 15.903 0.019
OBS: 53819.26312 CFA3K-B/h VOID 50722.424 840.907 15.737 0.018
OBS: 53820.28439 CFA3K-B/h VOID 57597.018 901.830 15.599 0.017
OBS: 53825.30031 CFA3K-B/h VOID 80167.806 1255.234 15.240 0.017
OBS: 53827.28309 CFA3K-B/h VOID 82565.763 1292.780 15.208 0.017
OBS: 53828.24723 CFA3K-B/h VOID 80909.590 1490.410 15.230 0.020
OBS: 53829.25426 CFA3K-B/h VOID 80020.268 1326.625 15.242 0.018
OBS: 53832.23224 CFA3K-B/h VOID 70990.462 1111.539 15.372 0.017
OBS: 53833.20030 CFA3K-B/h VOID 65705.239 1028.785 15.456 0.017
OBS: 53840.22108 CFA3K-B/h VOID 35026.763 967.825 16.139 0.030
OBS: 53843.22399 CFA3K-B/h VOID 28313.920 443.327 16.370 0.017
OBS: 53845.20892 CFA3K-B/h VOID 23572.194 390.794 16.569 0.018
OBS: 53846.21094 CFA3K-B/h VOID 21458.532 355.753 16.671 0.018
OBS: 53848.18714 CFA3K-B/h VOID 17538.805 290.769 16.890 0.018
OBS: 53849.19514 CFA3K-B/h VOID 15878.154 263.238 16.998 0.018
OBS: 53857.26131 CFA3K-B/h VOID 8456.682 202.511 17.682 0.026
OBS: 53858.19262 CFA3K-B/h VOID 8332.973 161.174 17.698 0.021
OBS: 53859.16929 CFA3K-B/h VOID 7648.918 162.033 17.791 0.023
OBS: 53860.14713 CFA3K-B/h VOID 7079.458 156.490 17.875 0.024
OBS: 53870.17802 CFA3K-B/h VOID 5345.644 467.734 18.180 0.095
OBS: 53879.20130 CFA3K-B/h VOID 4389.348 113.197 18.394 0.028
OBS: 53899.16005 CFA3K-B/h VOID 3014.394 177.687 18.802 0.064
OBS: 53817.32153 CFA3K-V/j VOID 33853.221 498.880 16.176 0.016
OBS: 53818.36854 CFA3K-V/j VOID 41495.404 573.280 15.955 0.015
OBS: 53820.27872 CFA3K-V/j VOID 55207.744 762.723 15.645 0.015
OBS: 53825.29465 CFA3K-V/j VOID 79286.637 1095.385 15.252 0.015
OBS: 53827.27337 CFA3K-V/j VOID 82186.408 1135.447 15.213 0.015
OBS: 53829.24451 CFA3K-V/j VOID 81733.482 1129.190 15.219 0.015
OBS: 53832.22657 CFA3K-V/j VOID 75370.258 1180.116 15.307 0.017
OBS: 53833.19052 CFA3K-V/j VOID 72912.166 1074.473 15.343 0.016
OBS: 53834.19868 CFA3K-V/j VOID 70016.436 1096.288 15.387 0.017
OBS: 53839.17052 CFA3K-V/j VOID 51760.683 810.447 15.715 0.017
OBS: 53840.21131 CFA3K-V/j VOID 50582.466 978.352 15.740 0.021
OBS: 53843.21426 CFA3K-V/j VOID 44014.928 648.628 15.891 0.016
OBS: 53845.19919 CFA3K-V/j VOID 39847.401 550.512 15.999 0.015
OBS: 53846.20119 CFA3K-V/j VOID 37914.034 558.722 16.053 0.016
OBS: 53848.17740 CFA3K-V/j VOID 34482.600 476.395 16.156 0.015
OBS: 53849.18539 CFA3K-V/j VOID 32991.343 455.792 16.204 0.015
OBS: 53857.25566 CFA3K-V/j VOID 22059.720 325.084 16.641 0.016
OBS: 53858.18285 CFA3K-V/j VOID 21203.131 312.461 16.684 0.016
OBS: 53859.15957 CFA3K-V/j VOID 20063.191 314.141 16.744 0.017
OBS: 53860.13741 CFA3K-V/j VOID 19319.683 338.088 16.785 0.019
OBS: 53870.17499 CFA3K-V/j VOID 11694.994 269.287 17.330 0.025
OBS: 53879.19899 CFA3K-V/j VOID 9944.890 174.032 17.506 0.019
OBS: 53899.15771 CFA3K-V/j VOID 6137.620 310.913 18.030 0.055
OBS: 53817.31821 CFA3K-r/k VOID 33113.112 487.973 16.200 0.016
OBS: 53818.37093 CFA3K-r/k VOID 40588.219 598.130 15.979 0.016
OBS: 53819.25986 CFA3K-r/k VOID 45962.114 719.655 15.844 0.017
