SURVEY: CfA3K
SNID:    2007H       
IAUC:    2007H       
RA:       128.75837  deg
DECL:      -8.33778  deg
MWEBV: 0.034 +- 0.002
REDSHIFT_HELIO: 0.042600000 +- 0.000 (Hel)
REDSHIFT_CMB: 0.043560841 +- 0.000 (CMB)
REDSHIFT_FINAL: 0.043560841 +- 0.000 (CMB)
HOSTGAL_LOGMASS: 10.3130 +- 4.583
PRIVATE(COSMO): 1
SEARCH_PEAKMJD: 54107.355
FILTERS: fhjkl
NOBS: 26
NVAR: 7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR  MAG    MAGERR
#=============================================================
OBS: 54117.37638 CFA3K-B/h VOID 2815.788 101.144 18.876 0.039
OBS: 54127.20101 CFA3K-B/h VOID 1141.826 233.469 19.856 0.222
OBS: 54128.22696 CFA3K-B/h VOID 1030.861 118.682 19.967 0.125
OBS: 54129.43969 CFA3K-B/h VOID 1109.686 146.154 19.887 0.143
OBS: 54138.21139 CFA3K-B/h VOID 463.020 92.968 20.836 0.218
OBS: 54117.37338 CFA3K-V/j VOID 5086.277 126.485 18.234 0.027
OBS: 54127.19799 CFA3K-V/j VOID 2937.650 189.397 18.830 0.070
OBS: 54128.22394 CFA3K-V/j VOID 2647.281 124.350 18.943 0.051
OBS: 54129.43668 CFA3K-V/j VOID 2039.858 150.302 19.226 0.080
OBS: 54138.20838 CFA3K-V/j VOID 1495.547 136.367 19.563 0.099
OBS: 54140.30299 CFA3K-V/j VOID 1477.747 97.996 19.576 0.072
OBS: 54141.29685 CFA3K-V/j VOID 1481.836 90.078 19.573 0.066
OBS: 54128.22162 CFA3K-r/k VOID 3664.376 135.001 18.590 0.040
OBS: 54129.43436 CFA3K-r/k VOID 3640.827 191.140 18.597 0.057
OBS: 54138.20608 CFA3K-r/k VOID 2708.944 154.692 18.918 0.062
OBS: 54139.23816 CFA3K-r/k VOID 2575.135 104.359 18.973 0.044
OBS: 54139.37939 CFA3K-r/k VOID 2394.418 145.552 19.052 0.066
OBS: 54140.29996 CFA3K-r/k VOID 2333.458 90.266 19.080 0.042
OBS: 54141.29384 CFA3K-r/k VOID 2445.682 92.355 19.029 0.041
OBS: 54128.21931 CFA3K-i/l VOID 2924.152 161.595 18.835 0.060
OBS: 54129.43204 CFA3K-i/l VOID 2558.586 221.515 18.980 0.094
OBS: 54138.20373 CFA3K-i/l VOID 2625.427 193.449 18.952 0.080
OBS: 54139.37637 CFA3K-i/l VOID 2635.118 366.482 18.948 0.151
OBS: 54140.29694 CFA3K-i/l VOID 2484.277 100.677 19.012 0.044
OBS: 54141.29085 CFA3K-i/l VOID 2265.687 129.380 19.112 0.062
OBS: 54144.22528 CFA3K-i/l VOID 1814.680 255.721 19.353 0.153
END:
