SURVEY: CfA3K
SNID:    2007R       
IAUC:    2007R       
RA:       116.65630  deg
DECL:      44.78959  deg
MWEBV: 0.040 +- 0.002
REDSHIFT_HELIO: 0.0308809991931 +- 0.000 (Hel)
REDSHIFT_CMB: 0.031319309026 +- 0.000 (CMB)
REDSHIFT_FINAL: 0.031319309026 +- 0.000 (CMB)
HOSTGAL_LOGMASS: 11.1810 +- 0.026
PRIVATE(COSMO): 1
SEARCH_PEAKMJD: 54129.684
FILTERS: fhjkl
NOBS: 62
NVAR: 7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR  MAG    MAGERR
#=============================================================
OBS: 54134.37919 CFA3K-B/h VOID 14668.983 459.362 17.084 0.034
OBS: 54136.43792 CFA3K-B/h VOID 12336.728 306.789 17.272 0.027
OBS: 54139.19186 CFA3K-B/h VOID 9418.896 164.827 17.565 0.019
OBS: 54141.16076 CFA3K-B/h VOID 7791.122 150.694 17.771 0.021
OBS: 54142.32411 CFA3K-B/h VOID 6588.704 145.642 17.953 0.024
OBS: 54144.15572 CFA3K-B/h VOID 4998.043 147.308 18.253 0.032
OBS: 54149.14626 CFA3K-B/h VOID 2591.791 124.131 18.966 0.052
OBS: 54152.21734 CFA3K-B/h VOID 2013.724 105.718 19.240 0.057
OBS: 54153.14628 CFA3K-B/h VOID 1770.109 123.905 19.380 0.076
OBS: 54154.20317 CFA3K-B/h VOID 1846.716 139.473 19.334 0.082
OBS: 54166.13949 CFA3K-B/h VOID 1108.664 115.386 19.888 0.113
OBS: 54129.25843 CFA3K-V/j VOID 18827.818 1248.556 16.813 0.072
OBS: 54134.37617 CFA3K-V/j VOID 16188.254 387.658 16.977 0.026
OBS: 54136.43490 CFA3K-V/j VOID 15674.728 274.302 17.012 0.019
OBS: 54138.14936 CFA3K-V/j VOID 14021.678 193.717 17.133 0.015
OBS: 54139.18885 CFA3K-V/j VOID 13182.567 254.973 17.200 0.021
OBS: 54140.23971 CFA3K-V/j VOID 11956.388 242.269 17.306 0.022
OBS: 54142.32109 CFA3K-V/j VOID 10365.733 200.491 17.461 0.021
OBS: 54144.15271 CFA3K-V/j VOID 9549.926 184.712 17.550 0.021
OBS: 54148.12326 CFA3K-V/j VOID 7413.102 177.521 17.825 0.026
OBS: 54149.14324 CFA3K-V/j VOID 6564.475 139.060 17.957 0.023
OBS: 54150.30367 CFA3K-V/j VOID 6426.877 254.533 17.980 0.043
OBS: 54152.21434 CFA3K-V/j VOID 5675.446 162.046 18.115 0.031
OBS: 54153.14328 CFA3K-V/j VOID 5044.289 144.025 18.243 0.031
OBS: 54154.20015 CFA3K-V/j VOID 4911.340 158.323 18.272 0.035
OBS: 54161.15758 CFA3K-V/j VOID 3326.596 263.496 18.695 0.086
OBS: 54166.13648 CFA3K-V/j VOID 2284.546 147.290 19.103 0.070
OBS: 54129.25612 CFA3K-r/k VOID 21105.712 991.393 16.689 0.051
OBS: 54134.37384 CFA3K-r/k VOID 13842.037 293.227 17.147 0.023
OBS: 54136.43258 CFA3K-r/k VOID 14791.084 272.462 17.075 0.020
OBS: 54138.14705 CFA3K-r/k VOID 13158.307 206.027 17.202 0.017
OBS: 54139.18652 CFA3K-r/k VOID 11025.543 253.873 17.394 0.025
OBS: 54140.23741 CFA3K-r/k VOID 10934.527 191.350 17.403 0.019
OBS: 54141.15546 CFA3K-r/k VOID 10223.509 273.070 17.476 0.029
OBS: 54142.31878 CFA3K-r/k VOID 9358.365 224.104 17.572 0.026
OBS: 54144.15039 CFA3K-r/k VOID 8855.233 187.587 17.632 0.023
