SURVEY: CfA3K
SNID:    2007bd      
IAUC:    2007bd      
RA:       127.88906  deg
DECL:      -1.19937  deg
MWEBV: 0.029 +- 0.001
REDSHIFT_HELIO: 0.0309098236681 +- 0.000 (Hel)
REDSHIFT_CMB: 0.0318515859544 +- 0.000 (CMB)
REDSHIFT_FINAL: 0.0318515859544 +- 0.000 (CMB)
HOSTGAL_LOGMASS: 10.9780 +- 0.442
PRIVATE(COSMO): 1
SEARCH_PEAKMJD: 54206.516
FILTERS: fhjkl
NOBS: 46
NVAR: 7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR  MAG    MAGERR
#=============================================================
OBS: 54197.13523 CFA3K-B/h VOID 7979.947 117.597 17.745 0.016
OBS: 54198.19012 CFA3K-B/h VOID 10299.117 142.288 17.468 0.015
OBS: 54202.12253 CFA3K-B/h VOID 18603.729 222.751 16.826 0.013
OBS: 54204.13544 CFA3K-B/h VOID 20970.076 231.770 16.696 0.012
OBS: 54208.18734 CFA3K-B/h VOID 19971.009 239.122 16.749 0.013
OBS: 54209.21677 CFA3K-B/h VOID 19213.213 212.352 16.791 0.012
OBS: 54210.15306 CFA3K-B/h VOID 18689.600 189.351 16.821 0.011
OBS: 54212.14858 CFA3K-B/h VOID 16811.250 201.289 16.936 0.013
OBS: 54235.16574 CFA3K-B/h VOID 1753.881 153.461 19.390 0.095
OBS: 54238.14189 CFA3K-B/h VOID 1487.305 217.807 19.569 0.159
OBS: 54197.13222 CFA3K-V/j VOID 7712.586 134.968 17.782 0.019
OBS: 54198.18711 CFA3K-V/j VOID 10195.300 150.243 17.479 0.016
OBS: 54202.11953 CFA3K-V/j VOID 17897.814 197.814 16.868 0.012
OBS: 54204.13244 CFA3K-V/j VOID 20417.379 225.661 16.725 0.012
OBS: 54208.18434 CFA3K-V/j VOID 21537.734 257.881 16.667 0.013
OBS: 54209.21376 CFA3K-V/j VOID 21028.098 251.779 16.693 0.013
OBS: 54210.15003 CFA3K-V/j VOID 20455.024 188.398 16.723 0.010
OBS: 54212.14558 CFA3K-V/j VOID 18724.059 206.946 16.819 0.012
OBS: 54235.14785 CFA3K-V/j VOID 4508.167 107.957 18.365 0.026
OBS: 54235.16203 CFA3K-V/j VOID 4483.323 132.137 18.371 0.032
OBS: 54238.13817 CFA3K-V/j VOID 3739.383 151.540 18.568 0.044
OBS: 54239.15589 CFA3K-V/j VOID 3671.132 175.824 18.588 0.052
OBS: 54197.12990 CFA3K-r/k VOID 8195.963 120.780 17.716 0.016
OBS: 54198.18481 CFA3K-r/k VOID 10607.181 136.774 17.436 0.014
OBS: 54202.11720 CFA3K-r/k VOID 18080.066 199.828 16.857 0.012
OBS: 54204.13015 CFA3K-r/k VOID 19733.313 236.276 16.762 0.013
OBS: 54208.18203 CFA3K-r/k VOID 20854.510 249.700 16.702 0.013
OBS: 54209.21146 CFA3K-r/k VOID 20931.483 231.343 16.698 0.012
OBS: 54210.14772 CFA3K-r/k VOID 20511.622 207.811 16.720 0.011
OBS: 54212.14325 CFA3K-r/k VOID 18741.312 224.398 16.818 0.013
OBS: 54235.14484 CFA3K-r/k VOID 6588.704 115.300 17.953 0.019
OBS: 54235.15902 CFA3K-r/k VOID 6269.025 127.028 18.007 0.022
OBS: 54238.13516 CFA3K-r/k VOID 5286.887 126.604 18.192 0.026
OBS: 54239.15288 CFA3K-r/k VOID 4764.310 118.478 18.305 0.027
OBS: 54197.12758 CFA3K-i/l VOID 6705.019 129.687 17.934 0.021
OBS: 54198.18248 CFA3K-i/l VOID 8645.697 135.371 17.658 0.017
OBS: 54202.11488 CFA3K-i/l VOID 12485.329 206.989 17.259 0.018
OBS: 54204.12785 CFA3K-i/l VOID 12554.517 196.573 17.253 0.017
OBS: 54208.17971 CFA3K-i/l VOID 11107.083 235.290 17.386 0.023
OBS: 54209.20914 CFA3K-i/l VOID 11555.800 149.006 17.343 0.014
OBS: 54210.14542 CFA3K-i/l VOID 11005.252 152.043 17.396 0.015
OBS: 54212.14095 CFA3K-i/l VOID 9594.006 220.910 17.545 0.025
OBS: 54235.14182 CFA3K-i/l VOID 6036.706 116.760 18.048 0.021
OBS: 54235.15600 CFA3K-i/l VOID 5992.389 165.576 18.056 0.030
OBS: 54238.13213 CFA3K-i/l VOID 4537.326 142.087 18.358 0.034
OBS: 54239.14987 CFA3K-i/l VOID 4450.410 139.365 18.379 0.034
END:
