SURVEY: CfA3K
SNID:    2007ci      
IAUC:    2007ci      
RA:       176.44105  deg
DECL:      19.77048  deg
MWEBV: 0.022 +- 0.001
REDSHIFT_HELIO: 0.0212750268795 +- 0.000 (Hel)
REDSHIFT_CMB: 0.022366899997 +- 0.000 (CMB)
REDSHIFT_FINAL: 0.022366899997 +- 0.000 (CMB)
HOSTGAL_LOGMASS: 10.8730 +- 0.028
PRIVATE(COSMO): 1
SEARCH_PEAKMJD: 54246.629
FILTERS: fhjkl
NOBS: 72
NVAR: 7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR  MAG    MAGERR
#=============================================================
OBS: 54238.16113 CFA3K-B/h VOID 15317.927 268.058 17.037 0.019
OBS: 54239.28477 CFA3K-B/h VOID 21399.321 335.062 16.674 0.017
OBS: 54240.15133 CFA3K-B/h VOID 24569.708 452.591 16.524 0.020
OBS: 54241.14686 CFA3K-B/h VOID 29867.578 467.654 16.312 0.017
OBS: 54243.14714 CFA3K-B/h VOID 36745.148 541.497 16.087 0.016
OBS: 54244.17191 CFA3K-B/h VOID 37187.758 650.773 16.074 0.019
OBS: 54254.15041 CFA3K-B/h VOID 23099.363 340.405 16.591 0.016
OBS: 54255.15671 CFA3K-B/h VOID 19444.644 304.456 16.778 0.017
OBS: 54256.21835 CFA3K-B/h VOID 15545.332 329.309 17.021 0.023
OBS: 54258.16409 CFA3K-B/h VOID 11923.397 208.655 17.309 0.019
OBS: 54263.15774 CFA3K-B/h VOID 6165.950 147.655 18.025 0.026
OBS: 54266.22822 CFA3K-B/h VOID 4153.364 149.190 18.454 0.039
OBS: 54267.21632 CFA3K-B/h VOID 3113.150 160.570 18.767 0.056
OBS: 54271.20196 CFA3K-B/h VOID 2718.942 130.220 18.914 0.052
OBS: 54238.15741 CFA3K-V/j VOID 16338.042 255.814 16.967 0.017
OBS: 54239.28107 CFA3K-V/j VOID 21203.131 292.932 16.684 0.015
OBS: 54240.14760 CFA3K-V/j VOID 24819.898 365.760 16.513 0.016
OBS: 54241.14315 CFA3K-V/j VOID 28157.883 440.884 16.376 0.017
OBS: 54243.14343 CFA3K-V/j VOID 35809.644 461.747 16.115 0.014
OBS: 54244.16819 CFA3K-V/j VOID 37531.852 518.522 16.064 0.015
OBS: 54247.16524 CFA3K-V/j VOID 41380.906 876.604 15.958 0.023
OBS: 54248.14150 CFA3K-V/j VOID 41001.524 830.804 15.968 0.022
OBS: 54249.14515 CFA3K-V/j VOID 42697.259 589.884 15.924 0.015
OBS: 54250.15100 CFA3K-V/j VOID 42072.663 542.505 15.940 0.014
OBS: 54252.22196 CFA3K-V/j VOID 39774.067 696.032 16.001 0.019
OBS: 54253.18037 CFA3K-V/j VOID 37153.523 581.734 16.075 0.017
OBS: 54254.14740 CFA3K-V/j VOID 36475.395 503.926 16.095 0.015
OBS: 54255.15369 CFA3K-V/j VOID 34197.944 409.467 16.165 0.013
OBS: 54256.21534 CFA3K-V/j VOID 30394.850 531.899 16.293 0.019
OBS: 54258.16107 CFA3K-V/j VOID 26278.465 338.847 16.451 0.014
OBS: 54263.15473 CFA3K-V/j VOID 18569.491 273.650 16.828 0.016
OBS: 54266.22521 CFA3K-V/j VOID 14112.371 233.964 17.126 0.018
OBS: 54267.21331 CFA3K-V/j VOID 10804.384 288.585 17.416 0.029
OBS: 54271.19895 CFA3K-V/j VOID 9204.496 279.763 17.590 0.033
OBS: 54291.17093 CFA3K-V/j VOID 3770.509 236.148 18.559 0.068
OBS: 54238.15441 CFA3K-r/k VOID 17587.334 291.574 16.887 0.018
OBS: 54239.27804 CFA3K-r/k VOID 22449.155 330.823 16.622 0.016
OBS: 54240.14461 CFA3K-r/k VOID 26693.161 393.365 16.434 0.016
OBS: 54241.14013 CFA3K-r/k VOID 30535.146 449.983 16.288 0.016
OBS: 54247.16293 CFA3K-r/k VOID 38583.356 710.732 16.034 0.020
OBS: 54248.13918 CFA3K-r/k VOID 42461.956 664.851 15.930 0.017
OBS: 54249.14284 CFA3K-r/k VOID 42422.865 664.239 15.931 0.017
OBS: 54250.14867 CFA3K-r/k VOID 42150.235 582.327 15.938 0.015
OBS: 54252.21963 CFA3K-r/k VOID 40105.137 554.073 15.992 0.015
OBS: 54253.17806 CFA3K-r/k VOID 38124.135 561.818 16.047 0.016
OBS: 54254.14505 CFA3K-r/k VOID 35743.741 460.897 16.117 0.014
OBS: 54255.15139 CFA3K-r/k VOID 33946.891 468.994 16.173 0.015
OBS: 54256.21303 CFA3K-r/k VOID 29160.838 778.886 16.338 0.029
OBS: 54258.15875 CFA3K-r/k VOID 29812.610 439.335 16.314 0.016
OBS: 54263.15242 CFA3K-r/k VOID 24569.708 339.443 16.524 0.015
OBS: 54266.22288 CFA3K-r/k VOID 20304.860 355.328 16.731 0.019
OBS: 54271.19664 CFA3K-r/k VOID 13576.881 237.591 17.168 0.019
OBS: 54291.16861 CFA3K-r/k VOID 5654.575 213.530 18.119 0.041
OBS: 54238.15139 CFA3K-i/l VOID 15559.656 272.288 17.020 0.019
OBS: 54239.27505 CFA3K-i/l VOID 19319.683 266.911 16.785 0.015
OBS: 54240.14160 CFA3K-i/l VOID 21837.353 341.920 16.652 0.017
OBS: 54241.13712 CFA3K-i/l VOID 23988.329 375.599 16.550 0.017
