SURVEY: CfA4p1
SNID:  2007cs
IAUC:  2007cs
IAUC:    UNKNOWN
RA:   357.41221  deg
DECL:    29.931281  deg
MWEBV: 0.057 +- 0.003
REDSHIFT_HELIO: 0.017600000 +- 0.000 (Hel)
REDSHIFT_CMB: 0.016475015 +- 0.000 (CMB)
REDSHIFT_FINAL: 0.016475015 +- 0.000 (CMB)
HOSTGAL_LOGMASS: 9.13500 +- 0.256
PRIVATE(COSMO): 1
FILTERS: UBVRI
SEARCH_PEAKMJD: 54275.777
NOBS: 74
NVAR: 7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR  MAG    MAGERR
#=============================================================
OBS: 54278.35009 CFA41-U VOID 1999.8619 650.5735 19.2475 0.3532
OBS: 54282.40255 CFA41-U VOID 2609.7566 478.0909 18.9585 0.1989
OBS: 54284.43244 CFA41-U VOID 2425.4929 940.0510 19.0380 0.4208
OBS: 54292.42485 CFA41-U VOID 1901.9540 510.1138 19.3020 0.2912
OBS: 54297.47516 CFA41-U VOID 1256.6085 490.6131 19.7520 0.4239
OBS: 54278.34705 CFA41-B VOID 5321.0826 245.0449 18.1850 0.0500
OBS: 54282.39949 CFA41-B VOID 4864.0721 303.2944 18.2825 0.0677
OBS: 54284.41962 CFA41-B VOID 4466.8359 1055.2687 18.3750 0.2565
OBS: 54292.42181 CFA41-B VOID 2516.5178 182.1790 18.9980 0.0786
OBS: 54297.47211 CFA41-B VOID 2566.8471 159.3439 18.9765 0.0674
OBS: 54346.48370 CFA41-B VOID 1060.2298 273.3245 19.9365 0.2799
OBS: 54348.29366 CFA41-B VOID 1176.5219 153.6568 19.8235 0.1418
OBS: 54350.37404 CFA41-B VOID 1025.6519 189.5933 19.9725 0.2007
OBS: 54351.44426 CFA41-B VOID 1108.6641 147.5515 19.8880 0.1445
OBS: 54352.35778 CFA41-B VOID 1086.4256 166.9059 19.9100 0.1668
OBS: 54353.34499 CFA41-B VOID 1062.1846 161.7143 19.9345 0.1653
OBS: 54361.43147 CFA41-B VOID 1019.0606 189.3135 19.9795 0.2017
OBS: 54363.25004 CFA41-B VOID 915.7987 210.3643 20.0955 0.2494
OBS: 54379.27277 CFA41-B VOID 595.9365 130.1938 20.5620 0.2372
OBS: 54383.24186 CFA41-B VOID 696.3058 134.9981 20.3930 0.2105
OBS: 54402.16549 CFA41-B VOID 333.2729 113.3587 21.1930 0.3693
OBS: 54278.34472 CFA41-V VOID 19010.7828 409.7241 16.8025 0.0234
OBS: 54282.39716 CFA41-V VOID 15797.9233 433.6027 17.0035 0.0298
OBS: 54284.41731 CFA41-V VOID 15191.4770 562.4731 17.0460 0.0402
OBS: 54292.41949 CFA41-V VOID 9954.0542 321.7976 17.5050 0.0351
OBS: 54297.46980 CFA41-V VOID 8480.0810 240.5617 17.6790 0.0308
OBS: 54345.41598 CFA41-V VOID 3677.9007 268.6265 18.5860 0.0793
OBS: 54346.47813 CFA41-V VOID 3325.0639 284.8122 18.6955 0.0930
OBS: 54348.28809 CFA41-V VOID 3024.1268 186.6167 18.7985 0.0670
OBS: 54350.36846 CFA41-V VOID 2896.0096 197.6487 18.8455 0.0741
OBS: 54351.43872 CFA41-V VOID 2820.9800 209.6762 18.8740 0.0807
OBS: 54352.35221 CFA41-V VOID 2892.0114 187.7867 18.8470 0.0705
OBS: 54353.33942 CFA41-V VOID 2876.0736 201.0562 18.8530 0.0759
OBS: 54361.42590 CFA41-V VOID 2367.0095 217.1376 19.0645 0.0996
OBS: 54363.24447 CFA41-V VOID 2412.1261 224.3867 19.0440 0.1010
OBS: 54370.34076 CFA41-V VOID 2155.7580 197.7584 19.1660 0.0996
OBS: 54372.38631 CFA41-V VOID 2179.7164 257.1727 19.1540 0.1281
OBS: 54379.26721 CFA41-V VOID 1558.8345 227.8519 19.5180 0.1587
OBS: 54383.23626 CFA41-V VOID 1533.9104 209.9397 19.5355 0.1486
OBS: 54402.15966 CFA41-V VOID 1178.6911 200.9473 19.8215 0.1851
OBS: 54278.34310 CFA41-r VOID 27302.3481 545.6767 16.4095 0.0217
OBS: 54282.39554 CFA41-r VOID 24660.3934 406.5638 16.5200 0.0179
OBS: 54284.41157 CFA41-r VOID 22552.7757 579.5353 16.6170 0.0279
OBS: 54292.41788 CFA41-r VOID 15907.4292 309.1421 16.9960 0.0211
OBS: 54297.46818 CFA41-r VOID 13225.1315 280.1583 17.1965 0.0230
OBS: 54346.47512 CFA41-r VOID 3837.0725 253.7465 18.5400 0.0718
OBS: 54348.28507 CFA41-r VOID 3561.2298 165.9687 18.6210 0.0506
OBS: 54350.36545 CFA41-r VOID 3399.3822 188.7961 18.6715 0.0603
