SURVEY: CfA4p1
SNID:  2007fb
IAUC:  2007fb
IAUC:    UNKNOWN
RA:   359.21826  deg
DECL:    5.5088611  deg
MWEBV: 0.048 +- 0.002
REDSHIFT_HELIO: 0.0180270075206 +- 0.000 (Hel)
REDSHIFT_CMB: 0.0168142337352 +- 0.000 (CMB)
REDSHIFT_FINAL: 0.0168142337352 +- 0.000 (CMB)
HOSTGAL_LOGMASS: 10.2720 +- 3.866
PRIVATE(COSMO): 1
FILTERS: UBVRI
SEARCH_PEAKMJD: 54288.078
NOBS: 121
NVAR: 7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR  MAG    MAGERR
#=============================================================
OBS: 54292.43893 CFA41-U VOID 41898.6471 2091.5823 15.9445 0.0542
OBS: 54297.46132 CFA41-U VOID 24243.7613 1192.3862 16.5385 0.0534
OBS: 54300.41969 CFA41-U VOID 16550.0763 870.3858 16.9530 0.0571
OBS: 54310.46183 CFA41-U VOID 4589.8659 907.2049 18.3455 0.2146
OBS: 54312.45728 CFA41-U VOID 4393.3925 969.5328 18.3930 0.2396
OBS: 54313.44333 CFA41-U VOID 4062.5620 812.3356 18.4780 0.2171
OBS: 54288.46248 CFA41-B VOID 50815.9443 1469.6209 15.7350 0.0314
OBS: 54292.43589 CFA41-B VOID 42383.8106 815.8719 15.9320 0.0209
OBS: 54297.45825 CFA41-B VOID 28379.1903 569.8128 16.3675 0.0218
OBS: 54298.45426 CFA41-B VOID 26351.1759 715.9747 16.4480 0.0295
OBS: 54300.41663 CFA41-B VOID 19660.7463 351.2994 16.7660 0.0194
OBS: 54310.46203 CFA41-B VOID 6237.3484 477.3937 18.0125 0.0831
OBS: 54312.45423 CFA41-B VOID 6367.9552 349.5602 17.9900 0.0596
OBS: 54346.44677 CFA41-B VOID 1555.9656 324.5965 19.5200 0.2265
OBS: 54348.35328 CFA41-B VOID 1782.3788 172.8638 19.3725 0.1053
OBS: 54350.39250 CFA41-B VOID 1623.3045 360.9217 19.4740 0.2414
OBS: 54351.39107 CFA41-B VOID 1609.1629 138.2793 19.4835 0.0933
OBS: 54352.22445 CFA41-B VOID 1576.1589 308.3402 19.5060 0.2124
OBS: 54353.39106 CFA41-B VOID 1631.5485 169.6562 19.4685 0.1129
OBS: 54354.32421 CFA41-B VOID 1488.6754 207.7248 19.5680 0.1515
OBS: 54355.34716 CFA41-B VOID 1571.0861 156.8574 19.5095 0.1084
OBS: 54357.34944 CFA41-B VOID 1411.8872 177.2440 19.6255 0.1363
OBS: 54361.36901 CFA41-B VOID 1360.1913 193.4296 19.6660 0.1544
OBS: 54363.26793 CFA41-B VOID 1332.9075 212.7523 19.6880 0.1733
OBS: 54372.42661 CFA41-B VOID 1532.4983 420.1985 19.5365 0.2977
OBS: 54375.36789 CFA41-B VOID 1332.2938 228.1156 19.6885 0.1859
OBS: 54377.28343 CFA41-B VOID 1190.1453 147.4341 19.8110 0.1345
OBS: 54379.29582 CFA41-B VOID 1702.1585 375.9455 19.4225 0.2398
OBS: 54394.22292 CFA41-B VOID 894.5405 225.1725 20.1210 0.2733
OBS: 54401.33428 CFA41-B VOID 1068.5627 274.0949 19.9280 0.2785
OBS: 54404.20403 CFA41-B VOID 646.2492 177.8510 20.4740 0.2988
OBS: 54406.17875 CFA41-B VOID 727.4447 139.7623 20.3455 0.2086
OBS: 54407.29374 CFA41-B VOID 593.1984 157.1866 20.5670 0.2877
OBS: 54408.15921 CFA41-B VOID 656.4475 127.3914 20.4570 0.2107
OBS: 54292.43359 CFA41-V VOID 48439.5389 709.3700 15.7870 0.0159
OBS: 54297.45591 CFA41-V VOID 36677.5232 530.3656 16.0890 0.0157
OBS: 54298.45193 CFA41-V VOID 34450.8546 1970.4584 16.1570 0.0621
OBS: 54300.41433 CFA41-V VOID 30338.9118 500.1828 16.2950 0.0179
OBS: 54310.45970 CFA41-V VOID 15212.4793 379.7038 17.0445 0.0271
OBS: 54311.46714 CFA41-V VOID 12647.3635 1016.9273 17.2450 0.0873
OBS: 54312.45190 CFA41-V VOID 12882.4955 392.7387 17.2250 0.0331
OBS: 54346.44119 CFA41-V VOID 3620.7622 230.7713 18.6030 0.0692
OBS: 54348.34772 CFA41-V VOID 3574.3741 185.6756 18.6170 0.0564
OBS: 54350.38713 CFA41-V VOID 3107.4203 157.1260 18.7690 0.0549
OBS: 54351.38552 CFA41-V VOID 3262.8717 174.0020 18.7160 0.0579
OBS: 54352.22685 CFA41-V VOID 3265.8783 197.3238 18.7150 0.0656
OBS: 54353.38549 CFA41-V VOID 3198.8951 172.9473 18.7375 0.0587
OBS: 54354.31866 CFA41-V VOID 2844.4611 181.2933 18.8650 0.0692
OBS: 54355.34161 CFA41-V VOID 2926.8469 169.0220 18.8340 0.0627
OBS: 54357.34387 CFA41-V VOID 2764.3944 175.4264 18.8960 0.0689
OBS: 54361.36361 CFA41-V VOID 2652.1617 171.7240 18.9410 0.0703
OBS: 54363.26237 CFA41-V VOID 2544.4856 179.0478 18.9860 0.0764
