SURVEY: CfA4p1
SNID:  2009do
IAUC:  2009do
IAUC:    UNKNOWN
RA:   188.74298  deg
DECL:    50.851058  deg
MWEBV: 0.013 +- 0.001
REDSHIFT_HELIO: 0.039700000 +- 0.000 (Hel)
REDSHIFT_CMB: 0.040307131 +- 0.000 (CMB)
REDSHIFT_FINAL: 0.040307131 +- 0.000 (CMB)
HOSTGAL_LOGMASS: 11.2610 +- 0.02
PRIVATE(COSMO): 1
FILTERS: UBVRI
SEARCH_PEAKMJD: 54946.562
NOBS: 67
NVAR: 7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR  MAG    MAGERR
#=============================================================
OBS: 54946.37484 CFA41-B VOID 13601.9132 501.1130 17.1660 0.0400
OBS: 54948.29476 CFA41-B VOID 13085.7916 278.4118 17.2080 0.0231
OBS: 54950.35322 CFA41-B VOID 11397.2480 745.3050 17.3580 0.0710
OBS: 54951.16679 CFA41-B VOID 10924.4605 243.4956 17.4040 0.0242
OBS: 54954.19497 CFA41-B VOID 9103.3240 408.3238 17.6020 0.0487
OBS: 54955.15415 CFA41-B VOID 8120.8222 397.1643 17.7260 0.0531
OBS: 54964.20164 CFA41-B VOID 2809.3122 173.6194 18.8785 0.0671
OBS: 54967.16162 CFA41-B VOID 1838.2306 273.6006 19.3390 0.1616
OBS: 54968.25740 CFA41-B VOID 1817.1886 214.5674 19.3515 0.1282
OBS: 54969.19819 CFA41-B VOID 1432.8476 268.6912 19.6095 0.2036
OBS: 54970.25206 CFA41-B VOID 1568.9171 375.1288 19.5110 0.2596
OBS: 54975.27061 CFA41-B VOID 942.7575 207.4397 20.0640 0.2389
OBS: 54977.22819 CFA41-B VOID 828.7051 187.1527 20.2040 0.2452
OBS: 54983.22285 CFA41-B VOID 759.9762 196.1999 20.2980 0.2803
OBS: 54994.25362 CFA41-B VOID 457.5094 170.4910 20.8490 0.4046
OBS: 54946.36742 CFA41-V VOID 13508.2783 456.6061 17.1735 0.0367
OBS: 54948.29175 CFA41-V VOID 13614.4468 312.2303 17.1650 0.0249
OBS: 54950.35021 CFA41-V VOID 13316.8038 425.6035 17.1890 0.0347
OBS: 54951.16378 CFA41-V VOID 12930.0439 300.1071 17.2210 0.0252
OBS: 54954.19197 CFA41-V VOID 11523.9138 511.5908 17.3460 0.0482
OBS: 54955.15116 CFA41-V VOID 11534.5326 409.0123 17.3450 0.0385
OBS: 54956.14537 CFA41-V VOID 9204.4957 608.6955 17.5900 0.0718
OBS: 54958.17132 CFA41-V VOID 8340.6520 577.6882 17.6970 0.0752
OBS: 54959.16359 CFA41-V VOID 8433.3476 345.6493 17.6850 0.0445
OBS: 54964.19679 CFA41-V VOID 6321.2068 271.8896 17.9980 0.0467
OBS: 54967.15862 CFA41-V VOID 5543.7036 409.4964 18.1405 0.0802
OBS: 54968.25036 CFA41-V VOID 4405.5486 324.6128 18.3900 0.0800
OBS: 54969.19266 CFA41-V VOID 4587.7527 307.6147 18.3460 0.0728
OBS: 54970.24655 CFA41-V VOID 4176.3799 370.8111 18.4480 0.0964
OBS: 54975.25977 CFA41-V VOID 3400.9481 222.0864 18.6710 0.0709
OBS: 54977.22301 CFA41-V VOID 2769.4913 152.7927 18.8940 0.0599
OBS: 54983.21915 CFA41-V VOID 2545.6577 165.7659 18.9855 0.0707
OBS: 54994.24993 CFA41-V VOID 1511.4716 143.3880 19.5515 0.1030
OBS: 54946.35783 CFA41-r VOID 13219.0425 393.2586 17.1970 0.0323
OBS: 54948.28876 CFA41-r VOID 13109.9187 312.7342 17.2060 0.0259
OBS: 54950.34718 CFA41-r VOID 12811.5006 318.5954 17.2310 0.0270
OBS: 54951.16076 CFA41-r VOID 12717.4489 267.0610 17.2390 0.0228
OBS: 54954.18896 CFA41-r VOID 10934.5270 351.4804 17.4030 0.0349
OBS: 54955.14815 CFA41-r VOID 10597.4164 230.3497 17.4370 0.0236
OBS: 54956.14236 CFA41-r VOID 9358.3654 331.8459 17.5720 0.0385
OBS: 54958.16832 CFA41-r VOID 8912.5094 272.5297 17.6250 0.0332
OBS: 54959.16058 CFA41-r VOID 8613.9035 218.1767 17.6620 0.0275
OBS: 54964.19379 CFA41-r VOID 7158.1369 145.7028 17.8630 0.0221
OBS: 54967.15564 CFA41-r VOID 6356.2358 249.9790 17.9920 0.0427
OBS: 54968.23121 CFA41-r VOID 6070.1581 206.3013 18.0420 0.0369
OBS: 54969.18895 CFA41-r VOID 5997.9108 135.8973 18.0550 0.0246
OBS: 54970.23125 CFA41-r VOID 5717.4187 329.1211 18.1070 0.0625
OBS: 54975.25201 CFA41-r VOID 4591.9801 173.4042 18.3450 0.0410
OBS: 54977.21932 CFA41-r VOID 3865.4495 178.3665 18.5320 0.0501
OBS: 54983.21616 CFA41-r VOID 3212.1809 144.3762 18.7330 0.0488
OBS: 54994.24624 CFA41-r VOID 2079.6967 184.4599 19.2050 0.0963
OBS: 54946.34221 CFA41-i VOID 7755.3250 257.1451 17.7760 0.0360
OBS: 54948.28575 CFA41-i VOID 7748.1853 239.0675 17.7770 0.0335
OBS: 54950.34418 CFA41-i VOID 7447.3197 252.4198 17.8200 0.0368
OBS: 54951.15777 CFA41-i VOID 7379.0423 268.4558 17.8300 0.0395
OBS: 54954.18595 CFA41-i VOID 6397.3484 277.5215 17.9850 0.0471
OBS: 54955.14513 CFA41-i VOID 5714.7864 221.5939 18.1075 0.0421
OBS: 54956.13936 CFA41-i VOID 5090.9637 282.2748 18.2330 0.0602
OBS: 54964.19079 CFA41-i VOID 4587.7527 253.9511 18.3460 0.0601
OBS: 54967.15262 CFA41-i VOID 5009.5648 253.3075 18.2505 0.0549
OBS: 54968.22821 CFA41-i VOID 5759.7018 440.3052 18.0990 0.0830
OBS: 54969.18524 CFA41-i VOID 5142.8043 218.8354 18.2220 0.0462
OBS: 54970.23701 CFA41-i VOID 5226.3682 229.6117 18.2045 0.0477
OBS: 54975.24465 CFA41-i VOID 4918.1300 214.7109 18.2705 0.0474
OBS: 54977.21560 CFA41-i VOID 4180.2283 270.2793 18.4470 0.0702
OBS: 54983.21315 CFA41-i VOID 2981.2610 190.5615 18.8140 0.0694
OBS: 54994.24252 CFA41-i VOID 1709.2280 228.4247 19.4180 0.1451
END:
