SURVEY: CfA4p2
SNID:  2009kq
IAUC:  2009kq
IAUC:    UNKNOWN
RA:   129.06312  deg
DECL:    28.067131  deg
MWEBV: 0.035 +- 0.002
REDSHIFT_HELIO: 0.0116985496379 +- 0.000 (Hel)
REDSHIFT_CMB: 0.0124703012407 +- 0.000 (CMB)
REDSHIFT_FINAL: 0.0124703012407 +- 0.000 (CMB)
HOSTGAL_LOGMASS: 10.1860 +- 0.104
PRIVATE(COSMO): 1
FILTERS: UBVRI
SEARCH_PEAKMJD: 55155.23
NOBS: 82
NVAR: 7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR  MAG    MAGERR
#=============================================================
OBS: 55150.51862 CFA42-B VOID 121059.8134 1717.1032 14.7925 0.0154
OBS: 55151.52664 CFA42-B VOID 127291.6746 1864.1154 14.7380 0.0159
OBS: 55153.51485 CFA42-B VOID 136521.1695 2590.2573 14.6620 0.0206
OBS: 55155.50829 CFA42-B VOID 137657.5387 2168.0625 14.6530 0.0171
OBS: 55157.45150 CFA42-B VOID 128824.9552 1969.6260 14.7250 0.0166
OBS: 55158.48940 CFA42-B VOID 124623.5160 1893.9113 14.7610 0.0165
OBS: 55160.33426 CFA42-B VOID 115345.3258 1699.7915 14.8450 0.0160
OBS: 55176.45047 CFA42-B VOID 26865.8138 460.2445 16.4270 0.0186
OBS: 55177.51590 CFA42-B VOID 25398.0281 458.4920 16.4880 0.0196
OBS: 55181.42429 CFA42-B VOID 18230.5596 349.2521 16.8480 0.0208
OBS: 55185.47898 CFA42-B VOID 13304.5442 406.8307 17.1900 0.0332
OBS: 55205.31056 CFA42-B VOID 6444.6598 793.0163 17.9770 0.1336
OBS: 55208.31775 CFA42-B VOID 6931.0655 238.1138 17.8980 0.0373
OBS: 55212.27855 CFA42-B VOID 6376.7589 467.5077 17.9885 0.0796
OBS: 55232.35521 CFA42-B VOID 5435.0057 228.2656 18.1620 0.0456
OBS: 55242.20992 CFA42-B VOID 5016.4906 331.7417 18.2490 0.0718
OBS: 55244.20103 CFA42-B VOID 4438.1298 402.6354 18.3820 0.0985
OBS: 55247.22821 CFA42-B VOID 4138.0906 309.4794 18.4580 0.0812
OBS: 55267.20376 CFA42-B VOID 3144.8505 264.4518 18.7560 0.0913
OBS: 55150.51560 CFA42-V VOID 120005.1820 1668.9857 14.8020 0.0151
OBS: 55151.53200 CFA42-V VOID 128115.0056 1687.3754 14.7310 0.0143
OBS: 55153.51184 CFA42-V VOID 137657.5387 1813.0581 14.6530 0.0143
OBS: 55155.51740 CFA42-V VOID 143218.7899 2150.1229 14.6100 0.0163
OBS: 55157.46066 CFA42-V VOID 141514.1933 1850.8193 14.6230 0.0142
OBS: 55158.49855 CFA42-V VOID 139059.2875 1818.7124 14.6420 0.0142
OBS: 55160.34340 CFA42-V VOID 133045.4418 1887.1065 14.6900 0.0154
OBS: 55171.52068 CFA42-V VOID 74404.6366 1946.2294 15.3210 0.0284
OBS: 55176.46098 CFA42-V VOID 59703.5287 780.8435 15.5600 0.0142
OBS: 55177.52641 CFA42-V VOID 56389.7280 784.2466 15.6220 0.0151
OBS: 55181.43486 CFA42-V VOID 46859.7535 720.7624 15.8230 0.0167
OBS: 55185.49155 CFA42-V VOID 36576.3193 576.0654 16.0920 0.0171
OBS: 55205.31101 CFA42-V VOID 16888.8469 416.8794 16.9310 0.0268
OBS: 55208.33032 CFA42-V VOID 15631.4764 316.7367 17.0150 0.0220
OBS: 55212.28409 CFA42-V VOID 12953.8839 527.3488 17.2190 0.0442
OBS: 55232.36265 CFA42-V VOID 9086.5705 302.1224 17.6040 0.0361
OBS: 55242.22115 CFA42-V VOID 6723.5711 351.7418 17.9310 0.0568
OBS: 55244.21397 CFA42-V VOID 6391.4589 323.7713 17.9860 0.0550
OBS: 55247.24578 CFA42-V VOID 5899.2935 212.4479 18.0730 0.0391
OBS: 55267.21867 CFA42-V VOID 3840.6082 236.2937 18.5390 0.0668
OBS: 55332.16316 CFA42-V VOID 1122.0185 192.4223 19.8750 0.1862
OBS: 55150.51329 CFA42-r VOID 115877.7356 1504.8555 14.8400 0.0141
OBS: 55151.52969 CFA42-r VOID 122800.4618 1606.0684 14.7770 0.0142
OBS: 55153.50954 CFA42-r VOID 130256.6786 1703.5859 14.7130 0.0142
OBS: 55155.51509 CFA42-r VOID 135020.5896 1753.4557 14.6740 0.0141
OBS: 55157.45834 CFA42-r VOID 134648.0288 1773.4205 14.6770 0.0143
