SURVEY: CfA4p2
SNID:  PTF10bjs
IAUC:  PTF10bjs
IAUC:    UNKNOWN
RA:   195.29673  deg
DECL:    53.815969  deg
MWEBV: 0.015 +- 0.001
REDSHIFT_HELIO: 0.030000000 +- 0.000 (Hel)
REDSHIFT_CMB: 0.030521680 +- 0.000 (CMB)
REDSHIFT_FINAL: 0.030521680 +- 0.000 (CMB)
PRIVATE(COSMO): 1
FILTERS: UBVRI
SEARCH_PEAKMJD: 55261.746
NOBS: 32
NVAR: 7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR  MAG    MAGERR
#=============================================================
OBS: 55251.40204 CFA42-r VOID 15863.5361 321.4388 16.9990 0.0220
OBS: 55252.21635 CFA42-r VOID 18071.7413 527.6366 16.8575 0.0317
OBS: 55254.34817 CFA42-r VOID 20970.0758 587.1503 16.6960 0.0304
OBS: 55259.37370 CFA42-r VOID 31102.8367 590.1235 16.2680 0.0206
OBS: 55261.36544 CFA42-r VOID 32404.1027 584.9675 16.2235 0.0196
OBS: 55267.42092 CFA42-r VOID 30619.6343 493.5302 16.2850 0.0175
OBS: 55268.31895 CFA42-r VOID 29268.4686 512.1879 16.3340 0.0190
OBS: 55270.36988 CFA42-r VOID 26767.0186 480.7400 16.4310 0.0195
OBS: 55276.38854 CFA42-r VOID 18180.2562 463.8264 16.8510 0.0277
OBS: 55277.51506 CFA42-r VOID 16834.4914 513.2201 16.9345 0.0331
OBS: 55287.18503 CFA42-r VOID 14879.8996 433.0746 17.0685 0.0316
OBS: 55289.26354 CFA42-r VOID 14368.1218 325.5448 17.1065 0.0246
OBS: 55290.33089 CFA42-r VOID 14387.9858 291.5401 17.1050 0.0220
OBS: 55306.31146 CFA42-r VOID 6798.2949 200.9929 17.9190 0.0321
OBS: 55332.28691 CFA42-r VOID 3028.3077 151.7311 18.7970 0.0544
OBS: 55334.32178 CFA42-r VOID 2826.1812 137.1786 18.8720 0.0527
OBS: 55339.24790 CFA42-r VOID 2641.1922 182.2038 18.9455 0.0749
OBS: 55354.22817 CFA42-r VOID 1993.4255 479.1993 19.2510 0.2610
OBS: 55355.24765 CFA42-r VOID 1465.5478 198.1535 19.5850 0.1468
OBS: 55267.41557 CFA42-i VOID 13073.7447 897.0816 17.2090 0.0745
OBS: 55268.31396 CFA42-i VOID 14157.9378 311.6546 17.1225 0.0239
OBS: 55270.36250 CFA42-i VOID 12823.3058 338.9671 17.2300 0.0287
OBS: 55276.38207 CFA42-i VOID 7537.0258 392.2149 17.8070 0.0565
OBS: 55277.50815 CFA42-i VOID 7085.9813 514.2827 17.8740 0.0788
OBS: 55287.17811 CFA42-i VOID 7638.3578 295.4779 17.7925 0.0420
OBS: 55289.25663 CFA42-i VOID 8135.7951 281.0004 17.7240 0.0375
OBS: 55290.32352 CFA42-i VOID 8629.7855 214.6048 17.6600 0.0270
OBS: 55306.30593 CFA42-i VOID 5301.5151 199.2213 18.1890 0.0408
OBS: 55332.28321 CFA42-i VOID 2073.9582 145.7472 19.2080 0.0763
OBS: 55334.31807 CFA42-i VOID 2133.0449 181.7261 19.1775 0.0925
OBS: 55339.24420 CFA42-i VOID 2080.6546 184.3532 19.2045 0.0962
OBS: 55393.14049 CFA42-i VOID 1856.9491 456.3116 19.3280 0.2668
END:
